Question,Answer
"What is a Rotated Sorted Array?","A sorted array that has been rotated at some pivot. Example: [4,5,6,7,0,1,2] was [0,1,2,4,5,6,7] rotated at index 4."
"What's the key insight for searching in rotated array?","At any mid point, ONE HALF is always sorted! Determine which half is sorted, then check if target is in that sorted half."
"How do you determine if LEFT half is sorted?","if nums[left] <= nums[mid]. The left portion from left to mid is in sorted order."
"How do you determine if RIGHT half is sorted?","if nums[left] > nums[mid]. This means rotation point is in left half, so right half (mid to right) is sorted."
"If left half is sorted, when is target in that half?","if nums[left] <= target < nums[mid]. Target is within the sorted left range."
"If right half is sorted, when is target in that half?","if nums[mid] < target <= nums[right]. Target is within the sorted right range."
"❌ MISTAKE #1: What's wrong with '=<' for comparison?","Python uses '<=' not '=<'. This is a syntax error!"
"❌ MISTAKE #2: Critical logic error in else block - what was wrong?","When target is OUTSIDE the sorted range (meaning it's in the OTHER half), wrote 'right = mid + 1' instead of 'right = mid - 1'."
"Why is 'right = mid + 1' wrong when target is not in right sorted half?","We need to search LEFT (smaller indices), so right should DECREASE. 'right = mid - 1' moves left, 'right = mid + 1' moves right (wrong direction)!"
"Code optimization: Why move 'if target == nums[mid]' to the top?","Check for found element FIRST, before determining which half is sorted. Cleaner, less repeated code."
"For [4,5,6,7,0,1,2], target=0, trace the search.","left=0,right=6,mid=3(7). 4<=7→left sorted. 0 not in [4,7)→search right: left=4. mid=5(1). 0<1→right=4. mid=4(0). Found!"
"For [4,5,6,7,0,1,2], target=3, trace the search.","Search narrows down, never finds 3. Return -1."
"Write the complete Search in Rotated Array code.","def search(nums,target): left,right=0,len(nums)-1; while left<=right: mid=left+(right-left)//2; if nums[mid]==target: return mid; if nums[left]<=nums[mid]: if nums[left]<=target<nums[mid]: right=mid-1; else: left=mid+1; else: if nums[mid]<target<=nums[right]: left=mid+1; else: right=mid-1; return -1"
"Why use '<=' in 'nums[left] <= nums[mid]'?","Handles edge case where left == mid (small arrays). Ensures correct half identification."
"Why use '<' in 'nums[left] <= target < nums[mid]'?","Strict < for mid because if target == nums[mid], we already found it above. This checks if target is strictly between."
"What is the time complexity?","O(log n) - Standard Binary Search, halving search space each iteration."
"What is the space complexity?","O(1) - Only pointer variables used."
"What makes this problem 'Medium' difficulty?","The two-layer logic: 1) Determine which half is sorted 2) Determine if target is in that sorted half. Easy to mess up directions."
"💡 AHA: What's the mental model for this problem?","'One half is always a safe zone (sorted)'. Check if target is in the safe zone. If yes, search there. If no, search the other half."
"What edge cases should you test?","1) Single element 2) Two elements 3) Target at rotation point 4) Target not in array 5) No rotation (fully sorted)"
