Question,Answer
"What is the naive formula for distributing keys across N servers?","serverIndex = hash(key) % N — maps each key to a server using modular arithmetic on the hash value"
"What is the main problem with hash(key) % N when servers change?","When N changes, nearly all keys must be remapped to different servers, causing a massive cache miss storm (O(k) redistribution)"
"How many keys must be remapped in naive hashing when 1 server is added/removed?","O(k) — almost all k keys, because the modulus changes and most hash(key) % N results produce different values"
"Define consistent hashing.","A hashing technique where only k/n keys need to be remapped when a server is added or removed (where k = total keys, n = number of servers)"
"What hash space does consistent hashing typically use?","SHA-1 hash space: 0 to 2^160 - 1 (approximately 1.46 × 10^48 positions)"
"How does the hash ring differ from a linear hash space?","The two ends of the linear space (x0 and xn) are connected, making it circular. The largest hash value wraps back to the smallest."
"How are servers placed on the consistent hash ring?","Each server is hashed by its IP address or hostname: position = hash(server_IP). No modular operation needed."
"How are keys placed on the consistent hash ring?","Each key is hashed with the same function: position = hash(key). The result maps directly to a ring position with no % N."
"What is the key lookup rule in consistent hashing?","Start at the key's ring position, walk clockwise, and the first server you encounter owns that key."
"What happens to keys when a server is added to the ring?","Only keys in the arc from the new server's predecessor (counterclockwise) up to the new server's position are moved. All other keys stay put."
"What happens to keys when a server is removed from the ring?","Only the keys that were owned by that server move — they fall clockwise to the next server. Everything else is unaffected."
"What are the two main problems with basic consistent hashing?","1) Unequal partition sizes — servers hash to random positions, some get huge arcs. 2) Non-uniform key distribution — hotspot keys may overload a single server."
"Who first described consistent hashing and when?","Karger et al. at MIT in 1997, in 'Consistent Hashing and Random Trees: Distributed Caching Protocols for Relieving Hot Spots on the World Wide Web'"
"What are virtual nodes (vnodes) in consistent hashing?","Instead of each server occupying 1 ring position, each server gets multiple positions (s0_0, s0_1, s0_2…). All vnodes for a server route to the same physical server."
"How do virtual nodes solve the unequal partition problem?","Many small arcs distributed around the ring average out, giving each physical server a more uniform share of the total key space."
"How do virtual nodes solve the hotspot problem?","Popular keys in a hotspot region are distributed across multiple physical servers (via their vnodes), spreading the load."
"What is the tradeoff with more virtual nodes?","More vnodes = better distribution (200 vnodes ≈ 5% std dev), but higher memory consumption for the ring data structure."
"How many vnodes does Amazon Dynamo use per physical node?","~150 virtual nodes (tokens) per physical node"
"How many vnodes does Apache Cassandra default to per node?","256 virtual nodes per physical node"
"How do you find the affected key range when adding a server?","Walk counterclockwise from the new server until you hit another server. Keys in that range move from the old server to the new server."
"How do you find the affected key range when removing a server?","Walk counterclockwise from the removed server to its predecessor. Keys in that range move clockwise to the next server after the removed one."
"Name 5 real-world systems that use consistent hashing.","Amazon Dynamo/DynamoDB, Apache Cassandra, Discord (WebSocket routing), Akamai CDN, Google Maglev load balancer"
"What data structure is typically used to implement the ring?","A sorted data structure like a balanced BST (e.g., Java TreeMap) or sorted array with binary search. Gives O(log n) key lookup."
"What redistribution cost does consistent hashing achieve vs naive hashing?","Consistent: O(k/n). Naive: O(k). With 5 servers and 1M keys, consistent hashing moves ~200K keys (1/5); naive moves ~800K+."
"What is the 'thundering herd' problem that consistent hashing prevents?","When naive hashing causes a mass cache miss, all requests simultaneously bypass cache and hit the database, potentially causing a cascading failure."
"How does consistent hashing support horizontal scaling?","Adding a server is an online operation: hash it onto the ring, transfer only the adjacent key range, and it's immediately live. No cluster restart needed."
"What is the clock-face analogy for the consistent hash ring?","Like a clock face — 12 o'clock wraps back to 12. The largest hash value connects to the smallest, creating a seamless circle with no boundaries."
"How does consistent hashing mitigate celebrity/hotspot data?","Virtual nodes spread a server's ownership across many ring positions. Many popular keys hash to different vnodes, routing to different physical servers."
"What happens at the ring boundary for key lookup?","If a key's position is greater than all server positions, wrap around and assign to the first (lowest position) server — the ring is circular."
"What std dev in key distribution do 100 vnodes vs 200 vnodes give?","100 vnodes ≈ 10% standard deviation. 200 vnodes ≈ 5% standard deviation in load distribution across servers."
