Question,Answer
"What is Heapify?","Process of converting a binary tree into a valid Heap (Max or Min) by fixing violations."
"What is the Time Complexity of building a heap using Heapify (Bottom-Up)?","O(N). This is more efficient than inserting elements one by one which takes O(N log N)."
"Why is Bottom-Up Heapify O(N)?","Because we process more nodes at the bottom (where height is small) and fewer nodes at the top (where height is large). The sum of work converges to linear time."
"What is the starting index for Bottom-Up Heapify?","`(n // 2) - 1`. This is the index of the **last non-leaf node**. We skip leaves because they are already valid heaps."
"How does the Sift-Down (Bubble-Down) operation work?","Compare parent with largest child. If parent < largest child, SWAP. Repeat for the new position until valid or leaf."
"What is the 'Negation Trick' in Python heaps?","Python's `heapq` is a Min-Heap. To simulate a Max-Heap, store negated values (`-val`). Largest real value becomes smallest negated value."
"Why use Heap over Sorting for 'Top K' problems?","Sorting takes O(N log N). Heap takes O(N log K). When K is small (K << N), Heap is significantly faster."
"What is the relationship between parent and children indices in array-based Heap?","Left Child: `2*i + 1`. Right Child: `2*i + 2`. Parent: `(i - 1) // 2`."
"What is a Complete Binary Tree?","A tree where every level is filled except possibly the last, which is filled from left to right. Heaps must be complete."
"Why do we check `if len(heap) > k` in Top K pattern?","To discard the 'worst' element (e.g., largest distance) once we exceed capacity K, keeping only the best K elements."
"What is the 'VIP Club' Analogy for Top K Largest?","To keep the K Richest people, you track the **Poorest** inside (Min-Heap). If a new person is richer than the Poorest, kick out the Poorest and let the new person in."
"What is the 'Lifeboat' Analogy for Top K Smallest?","To keep the K Lightest people, you track the **Heaviest** inside (Max-Heap). If a new person is lighter than the Heaviest, throw out the Heaviest and let the new person in."
"In the 'VIP Club' (Top K Largest), what does the Root Node represent?","The 'Poorest' member of the club (Min Value). This is the candidate to be evicted if a richer person arrives."
"In the 'Lifeboat' (Top K Smallest), what does the Root Node represent?","The 'Heaviest' person on the boat (Max Value). This is the candidate to be evicted if a lighter person arrives."
"Why is Bottom-Up Heapify order crucial?","Processing from last parent to root guarantees that when we fix a node, **both its subtrees are already valid heaps**."
"What happens if you run Heapify Top-Down?","It fails or becomes O(N log N). Swapping a parent might break a subtree that was already 'fixed', requiring multiple passes."
"What is the key principle of Bottom-Up Heapify?","A node only needs ONE sift-down operation to find its correct position because its children are already heap-roots."
"Visual Proof: Which nodes are processed first in Heapify?","The nodes just above the leaves (Indices near `n/2`). We work backwards to the root (Index 0)."
"Why does `(n // 2) - 1` identify the last parent?","Indices `n // 2` to `n - 1` are leaves. The node just before the first leaf is the last parent."
"Mathematical intuition: Why does the work decrease as we go up?","There are N/2 leaves (height 0, work 0). N/4 nodes at height 1 (work 1). Only 1 root at height log N. Most nodes do very little work."
"What is the parent-child index formula in 1-indexed heap representation?","If node is at index i: Left Child = 2*i, Right Child = 2*i+1, Parent = floor(i/2)."
"What is a Full Binary Tree?","A tree where every node has either 0 or 2 children. No node has only one child. If tree has height H, max nodes = 2^(h+1) - 1."
"What is the height formula for a Complete Binary Tree?","Height = floor(log₂(n)). We use floor because the tree can only have full levels. Rounding up would mean an extra empty level that isn't needed."
"Why is the height of a Complete Binary Tree minimum?","Because it's filled level by level from left to right with no gaps. This is the most compact structure possible for n nodes."
"What does 2^h represent in heap height analysis?","The number of nodes at level h. Level 0 has 2^0=1 node, level 1 has 2^1=2 nodes, level 2 has 2^2=4 nodes, etc."
"What is the total nodes formula for a Full Binary Tree of height h?","2^(h+1) - 1. This is the sum of geometric series: 1 + 2 + 4 + ... + 2^h."
"What is a Max Heap?","A complete binary tree where every node is >= all its descendants. The largest element is always at the root."
"What is a Min Heap?","A complete binary tree where every node is <= all its descendants. The smallest element is always at the root."
"How does Heap Insert work?","Add new element at the next available position (level-order, left-to-right). Then adjust UPWARD (leaf → root) by comparing with parent and swapping if needed. Time: O(log n)."
"What direction does Insert adjustment move in a Heap?","UPWARD (Leaf → Root). The new element bubbles up by comparing with ancestors until heap property is restored."
"Why must Insert follow level-order placement?","To maintain the Complete Binary Tree property. We must fill each level from left to right with no gaps."
"What is the ONLY element you can delete from a Heap?","The ROOT element. Heap deletion always removes the maximum (Max-Heap) or minimum (Min-Heap) element."
"How does Heap Delete work?","1. Remove root. 2. Replace root with LAST element (rightmost leaf). 3. Adjust DOWNWARD (root → leaf) by comparing with children and swapping with the larger child (Max-Heap). Time: O(log n)."
"What direction does Delete adjustment move in a Heap?","DOWNWARD (Root → Leaf). The replacement element sinks down by comparing with descendants until heap property is restored."
"When comparing children during Delete sift-down, which child do you use?","Compare both children FIRST. Then compare parent with the LARGER child (Max-Heap) or SMALLER child (Min-Heap) and swap if needed."
"What happens to the deleted root element in Heap Sort?","It's stored in the FREE SPACE created by shrinking the heap. This builds the sorted array from the back while the heap shrinks from the front."
"After deleting the root in a Max-Heap, what is the next root?","The NEXT LARGEST element automatically becomes the new root after re-heapifying."
"What are the 2 steps of Heap Sort?","Step 1: Build a heap (O(n) with heapify or O(n log n) with insertion). Step 2: Repeatedly delete root and store in freed space until heap is empty (O(n log n))."
"What is the total time complexity of Heap Sort?","O(n log n). Building heap is O(n) with heapify, and n deletions each take O(log n) = O(n log n) total."
"What is the Market Analogy for Heap Delete?","Like apples arranged in a pyramid at the market. The BEST apple (largest/smallest) is always on top. When you take the top apple, you rearrange to keep the pyramid structure."
"What is the key insight that makes Heap Sort work?","Each deletion gives you the largest (or smallest) element in sorted order. Storing deleted elements in the freed array space automatically builds a sorted array."
"What is a Priority Queue?","A queue where elements are served by PRIORITY instead of arrival order. Highest (or lowest) priority element is always served first."
"What are the 2 types of Priority Queue?","1. Min Priority: Smaller number = Higher priority (use Min-Heap). 2. Max Priority: Larger number = Higher priority (use Max-Heap)."
"Why implement Priority Queue with Heap instead of Sorted Array?","Sorted Array: Insert O(n), Delete O(n). Heap: Insert O(log n), Delete O(log n). Heap makes BOTH operations fast!"
"What Heap type for 'smaller number = higher priority' Priority Queue?","Min-Heap. The smallest number (highest priority) is always at the root and gets deleted first."
"What Heap type for 'larger number = higher priority' Priority Queue?","Max-Heap. The largest number (highest priority) is always at the root and gets deleted first."
"What is the complete definition of a Complete Binary Tree (3 definitions)?","Def 1: No gaps in array representation. Def 2: All levels filled except last, which fills left-to-right. Def 3: Full binary tree of height H-1, plus last level filled left-to-right."
"Why are leaves (indices n/2 to n-1) already valid heaps?","A single node is trivially a valid heap. Leaves have no children, so they automatically satisfy the heap property."
"What is the 'free space' created during Heap Delete?","When heap shrinks from size n to n-1, the last position in the array becomes free. We store the deleted root there, building the sorted array."
