Question,Answer
"What pattern does 'Daily Temperatures' use?","Monotonic Decreasing Stack. We store indices of days with decreasing temperatures."
"Why do we need a Monotonic Stack here?","We need to find the 'Next Greater Element'. A stack helps us keep track of elements waiting for a greater value."
"What do we store in the stack?","Indices `i`. Storing indices allows us to calculate the distance (`current_i - stack_top_i`)."
"❌ MISTAKE: Why is storing `(value, index)` sometimes wasteful?","We can access the value via `temperatures[i]`. Storing just `index` saves memory and simplifies the tuple unpacking."
"What is the condition to POP from the stack?","`while stack and current_temp > temperatures[stack[-1]]`. While the new day is WARMER than the day at the stack top."
"What does it mean when we POP an index from the stack?","It means we found the 'next warmer day' for that index. We can now calculate the wait time."
"❌ MISTAKE: What was the logic error with `answer[i] = ...`?","We shouldn't update `answer[i]` (current day). We update `answer[prev_index]` (the popped day) because we found ITS answer."
"What is the formula for the wait days?","`wait_days = current_index - popped_index`."
"Why initialize the `answer` array with 0s?","If a day stays in the stack until the end (no warmer day found), its answer remains 0, which is correct."
"What happens to days that are NOT warmer than the stack top?","They are PUSHED onto the stack to wait for a future warmer day."
"What is the Time Complexity of this solution?","O(N). Each element is pushed once and popped at most once."
"❌ MISTAKE: What happens if you forget `while stack` in the condition?","`IndexError` when the stack becomes empty. Always check existence before accessing `stack[-1]`."
"Why is Brute Force O(N^2) bad here?","Constraints usually allow N=10^5. N^2 would be 10^10 operations -> TLE (Time Limit Exceeded)."
"What is the logic flow inside the loop?","1. While warmer than top: Pop & Record. 2. Push current index."
"If the input is `[75, 71, 69, 72]`, what is in the stack at 72?","Stack has `[0 (75), 1 (71), 2 (69)]`. 72 pops 69 (wait 1), pops 71 (wait 2). Stack becomes `[0 (75), 3 (72)]`."
"What does 'Monotonic Decreasing' mean in this context?","The temperatures corresponding to the indices in the stack are always in decreasing order (from bottom to top)."
"Why does the stack property guarantee efficiency?","We only revisit elements when we find their solution. We never scan the array repeatedly."
"❌ MISTAKE: Comparing `int` with `tuple`?","Ensure you compare `temperatures[i]` with `temperatures[stack[-1]]` (value vs value), not index vs value."
"What is the space complexity?","O(N) for the stack and result array."
"💡 AHA MOMENT: Why does the new day 'kick out' the old days?","Because the new day is warmer! The old days were waiting for a warmer day, and they just found it."
