Question,Answer
"What is Vertical Scaling (Scale Up)?","Adding more power (CPU, RAM, etc.) to an existing server."
"What is Horizontal Scaling (Scale Out)?","Adding more servers to a pool of resources."
"What is the main limitation of Vertical Scaling?","It has a hard hardware limit (impossible to add unlimited CPU/RAM), lacks failover/redundancy, and is expensive."
"Why is Horizontal Scaling preferred for large-scale applications?","It allows for redundancy (failover), has no theoretical limit, and can use cost-effective commodity hardware."
"What is a Load Balancer?","A device that evenly distributes incoming traffic among web servers defined in a load-balanced set."
"How does a Load Balancer improve security?","Users connect to the public IP of the load balancer, while web servers use private IPs and are unreachable directly from the internet."
"What problem does a Load Balancer solve regarding server availability?","If a server goes offline, the load balancer reroutes traffic to healthy servers, preventing downtime (Failover Protection)."
"What is Database Replication?","A master-slave relationship where the original (master) handles writes and copies (slaves) handle reads."
"In Master-Slave replication, which database handles write operations?","The Master database (INSERT, UPDATE, DELETE)."
"In Master-Slave replication, which database handles read operations?","The Slave databases (SELECT)."
"Why does Database Replication improve performance?","Most apps have a higher read-to-write ratio. Reads are distributed across multiple slaves, parallelizing queries."
"What happens if the Master database goes offline?","A slave database is promoted to be the new master, and a new slave replaces the old one for replication."
"What is a Cache?","A temporary storage area that stores the result of expensive responses or frequently accessed data in memory (RAM)."
"What is the 'Read-Through' caching strategy?","Web server checks cache first. If hit, return data. If miss, query DB, store in cache, then return data."
"When should you use a Cache?","When data is read frequently but modified infrequently."
"What is a Content Delivery Network (CDN)?","A network of geographically dispersed servers used to deliver static content (images, CSS, JS) closer to the user."
"How does a CDN improve performance?","It serves content from a server physically closer to the user, reducing latency (RTT)."
"What is a Stateless Web Tier?","An architecture where web servers keep no state information (e.g., sessions). State is stored in a shared data store (Redis/DB)."
"Why is a Stateless Web Tier important for scaling?","It allows any request to be handled by any server, making auto-scaling (adding/removing servers) easy."
"What is GeoDNS?","A DNS service that resolves domain names to IP addresses based on the user's location (routing to the nearest Data Center)."
"What is a Message Queue?","A durable component stored in memory that supports asynchronous communication, serving as a buffer between producers and consumers."
"What is the main benefit of using a Message Queue?","Decoupling. Producers and consumers can scale independently, and failures in one don't block the other."
"What is Database Sharding?","Horizontal scaling of a database by separating large databases into smaller, manageable parts called shards."
"What is a Sharding Key (Partition Key)?","One or more columns that determine how data is distributed across shards (e.g., user_id % 4)."
"What is the 'Celebrity Problem' in sharding?","Excessive access to a specific shard due to a hotspot key (e.g., data for a famous user), causing overload."
"How do you solve the Celebrity Problem?","Allocate a dedicated shard for the celebrity or further partition that specific shard."
"What is the trade-off of Sharding regarding Joins?","Performing joins across multiple database shards is difficult/inefficient. Often requires de-normalization."
"What metrics should be monitored in a large system?","Host level (CPU, RAM), Aggregated level (DB/Cache performance), and Business metrics (DAU, Revenue)."
"Why separate the Web Tier and Data Tier?","So they can be scaled independently (e.g., web servers horizontally, DB vertically or horizontally)."
"What is the difference between Cache and Database storage duration?","Cache is temporary (volatile RAM), Database is permanent (disk persistence)."
"What is the 'Golden Rule' for Cache vs Database?","Cache for SPEED (read-heavy, non-critical loss), Database for SAFETY (source of truth, durable)."
"What is the 'Consistency' challenge in Caching?","Keeping the data store and cache in sync, as operations are not in a single transaction."
"What is an Eviction Policy in Caching?","The rule for removing items when the cache is full (e.g., LRU - Least Recently Used)."
"What is the 'Single Point of Failure' (SPOF)?","A part of a system that, if it fails, stops the entire system from working."
"How do you handle a temporary CDN outage?","Clients should be able to detect the failure and request resources directly from the origin."
"What is Autoscaling?","Automatically adding or removing web servers based on traffic load (requires stateless architecture)."
"What is the 'Authorization Code' flow in OAuth?","Browser gets a code -> Backend exchanges code + secret for token. Keeps token off the browser."
"Why is 'One app, one responsibility' a good Django practice?","It keeps the codebase modular, scalable, and maintainable (e.g., separate apps for Users, Payments)."
"What is the main security benefit of using Private IPs for backend servers?","They are unreachable over the internet, adding a layer of defense against direct attacks."
"In the evolution of a system, what is the bottleneck after separating Web and DB?","The single web server becomes overloaded, requiring a Load Balancer + Horizontal Scaling."
