Question,Answer
"What is the goal of 'Subsets' (LeetCode 78)?","Find the Power Set: all possible subsets of a unique set of numbers."
"What is the pattern for Subsets?","Backtracking (Include/Exclude Decision Tree)."
"What is the Time Complexity?","O(N * 2^N). There are 2^N subsets, and copying each takes O(N)."
"❌ MISTAKE: What happens if you do `result.append(subset)`?","Reference Bug! You store a reference to the mutable list. When you `pop()`, it modifies the stored result. Result becomes `[[], [], ...]`."
"How do you fix the Reference Bug?","Take a SNAPSHOT: `result.append(subset[:])` or `subset.copy()`."
"What are the two branches in the decision tree?","1. INCLUDE the current number. 2. EXCLUDE the current number."
"Why do we need `subset.pop()` (Backtracking)?","To undo the 'Include' choice so we can return to the state where the number was not included."
"What is the Base Case?","When `index == len(nums)`. We've made a Yes/No decision for every number."
"What defines the 'State' of the recursion?","The current `index` (which number we're considering) and the `subset` (what we've built so far)."
"Can we solve this Iteratively (Cascading)?","Yes. Start with `[[]]`. For each num, take all existing subsets, add num to them, and add back to result."
"❌ MISTAKE: Indentation error with `return`?","Placing `return result` inside the loop or helper function instead of at the end of the main function."
"What does the recursion tree look like for `[1, 2]`?","Root -> (Inc 1, Exc 1). Inc 1 -> (Inc 2, Exc 2). 4 leaves total."
"Why is the space complexity O(N)?","Recursion depth is N. Temporary subset list size is N."
"Does order matter in a Subset?","No. `[1, 2]` is the same set as `[2, 1]`. But since we scan `nums` in order, we generate `[1, 2]` naturally."
"What is the 'Exclude' step code?","Just call `backtrack(i + 1, subset)` without appending anything (or after popping)."
"Why `subset[:]`?","Slice notation creates a shallow copy of the list."
"What if `nums` is empty?","The power set is `[[]]`."
"How many subsets for an array of size 3?","2^3 = 8 subsets."
"💡 AHA MOMENT: The 'Camera' analogy?","`subset` is the live scene. `subset[:]` is taking a photo to put in the album (`result`)."
"What is the difference between Subsets and Permutations?","Subsets: choose Yes/No (order preserved). Permutations: choose order (rearrange)."
