Question,Answer
"SIGNAL: Sum of elements from index i to index j. What pattern?","Prefix Sum. Precompute cumulative sums. Range sum = prefix[j+1] - prefix[i]. O(1) per query."
"SIGNAL: Count subarrays with sum equal to K. What pattern?","Prefix Sum + Hash Map. Track prefix sums seen. For each position, count how many previous prefixes equal (current - K)."
"SIGNAL: Product of array except self (without division). What pattern?","Prefix (and Suffix) Product. Left prefix product × right suffix product for each position."
"SIGNAL: Multiple range sum queries on same array. What pattern?","Prefix Sum. O(n) preprocess enables O(1) per query. Much better than O(n) per query."
"WHY: Why is prefix sum O(1) per range query?","Range sum = prefix[j] - prefix[i-1]. Just one subtraction regardless of range size."
"WHY: Why start prefix array with 0?","prefix[0] = 0 represents sum of no elements. Makes formula prefix[j+1] - prefix[i] work for any range including i=0."
"WHY: Why combine prefix sum with hash map for 'count subarrays'?","Hash map stores {prefix_value: count}. For sum K, we need count of previous prefixes where current - previous = K."
"SCENARIO: Array [1,2,3,4]. Build prefix sum.","prefix = [0, 1, 3, 6, 10]. Sum of index 1 to 3 = prefix[4] - prefix[1] = 10 - 1 = 9. (2+3+4=9)"
"SCENARIO: 'Subarray Sum Equals K' - [1,1,1], K=2. Count subarrays.","Prefix: 0,1,2,3. At 2: need prefix=0 (found once) → count 1. At 3: need prefix=1 (found once) → count 2. Answer: 2 (subarrays [1,1])."
"SCENARIO: 'Product of Array Except Self' - [1,2,3,4]. Compute without division.","Left products: [1,1,2,6]. Right products: [24,12,4,1]. Result: left×right = [24,12,8,6]."
"COSTUME: 'Find Pivot Index' - left sum equals right sum. Pattern?","Prefix Sum. Total sum known. At each index: left_sum = prefix[i]. Right_sum = total - prefix[i+1]. Find where equal."
"COSTUME: 'Contiguous Array' - longest subarray with equal 0s and 1s. Pattern?","Prefix Sum! Treat 0 as -1. Find longest subarray with sum 0. Use hash map: {prefix_sum: first_index}."
"COSTUME: 'Path Sum III' - count paths in tree that sum to target. Pattern?","Prefix Sum on tree paths! Track prefix sums from root. Use hash map to count valid paths ending at each node."
"ANTI-PATTERN: Array is frequently updated, then queried - Prefix Sum?","Prefix Sum needs rebuilding on update. Use Segment Tree or Fenwick Tree for dynamic updates."
"ANTI-PATTERN: 'Longest substring with constraint' - Prefix Sum?","Probably Sliding Window. Prefix Sum is for SUM queries, not constraint-based window problems."
"COMPARISON: Prefix Sum vs Sliding Window - when to use each?","Prefix Sum: range sum queries, count subarrays with exact sum. Sliding Window: longest/shortest with constraint."
"TECHNIQUE: What's the formula for range sum with prefix array?","Sum from index i to j (inclusive) = prefix[j+1] - prefix[i]. (Assuming prefix[0] = 0)"
"TECHNIQUE: How to extend prefix sum to 2D matrix?","prefix[i][j] = sum of rectangle (0,0) to (i-1,j-1). Range sum uses inclusion-exclusion principle."
"EDGE: What if i=0 in range query?","Sum from 0 to j = prefix[j+1] - prefix[0] = prefix[j+1] - 0 = prefix[j+1]. Works correctly."
"MENTAL MODEL: How to visualize Prefix Sum?","Odometer readings. prefix[i] = total distance after i miles. Distance from mile A to B = reading at B - reading at A."
