Question,Answer
"What pattern does 'Group Anagrams' use?","HashMap with a clever key - group words by their sorted character representation or character count."
"What are the two common approaches for the HashMap key?","1) Sorted string as key: 'eat' -> 'aet'. 2) Character count tuple: 'eat' -> (1,0,0,...1,...1)"
"Why does sorting work as a key for anagrams?","All anagrams have the same letters, so when sorted, they produce the same string."
"What is the time complexity using sorted string as key?","O(n * k log k) where n = number of strings, k = max string length (sorting each string)."
"What is the time complexity using character count as key?","O(n * k) where n = number of strings, k = max string length (counting is linear)."
"What is the space complexity?","O(n * k) - storing all strings in the HashMap."
"How do you create a character count key in Python?","count = [0]*26; for c in s: count[ord(c)-ord('a')] += 1; return tuple(count)"
"Why use tuple instead of list for the key?","Lists are mutable and unhashable. Tuples are immutable and can be HashMap keys."
"For input ['eat','tea','tan','ate','nat','bat'], how many groups?","3 groups: ['eat','tea','ate'], ['tan','nat'], ['bat']"
"What Python data structure is best for grouping?","defaultdict(list) - automatically creates empty list for new keys."
"Write the sorted key approach.","key = ''.join(sorted(s)); result[key].append(s)"
"Write the count key approach.","count = tuple(sorted(Counter(s).items())); result[count].append(s)"
"What edge cases should you consider?","Empty string (valid anagram of itself), single character strings, strings with same length but different chars."
"How do you return the final grouped result?","return list(result.values()) - converts dict values to list of lists."
"Why is this a HashMap problem and not sorting?","We need to GROUP by a property, not just sort. HashMap enables O(1) grouping."
