Question,Answer
"What pattern does Three Sum (3Sum) use?","Two Pointers - Opposite Direction, combined with iteration. Fix one number, then use two pointers on the rest."
"Why do we sort the array first in 3Sum?","Sorting enables the two-pointer technique and makes it easy to skip duplicates."
"What is the time complexity of 3Sum?","O(n^2) - O(n log n) for sorting + O(n^2) for nested loop with two pointers."
"What is the space complexity of 3Sum?","O(1) or O(n) depending on whether you count the output and sorting space."
"In 3Sum, how do we avoid duplicate triplets?","Skip duplicate values: (1) skip same values for i, (2) skip same values for left/right pointers."
"What's the outer loop strategy in 3Sum?","Iterate i from 0 to n-3, fix nums[i] as the first element, then find pairs that sum to -nums[i]."
"How do we skip duplicates for the fixed element in 3Sum?","if i > 0 and nums[i] == nums[i-1]: continue"
"What is the target sum for the two-pointer portion in 3Sum?","target = -nums[i], because we need nums[i] + nums[left] + nums[right] = 0."
"When we find a valid triplet in 3Sum, how do we skip duplicates?","After adding triplet: while left < right and nums[left] == nums[left+1]: left++, and same for right--."
"In 3Sum, if total < 0, what do we do?","Move left pointer right (left++) to increase the sum."
"In 3Sum, if total > 0, what do we do?","Move right pointer left (right--) to decrease the sum."
"For input [-1,0,1,2,-1,-4], what triplets sum to 0?","[[-1,-1,2], [-1,0,1]]"
"Why do we use 'while' loops to skip duplicates instead of 'if'?","Because there could be multiple consecutive duplicates, not just one."
"What's the early termination condition in 3Sum?","If nums[i] > 0, we can break since all remaining elements are positive and can't sum to 0."
"Write the duplicate skip logic after finding a triplet.","left += 1; right -= 1; while left < right and nums[left] == nums[left-1]: left += 1"
