Question,Answer
"What is the Merge Two Sorted Lists problem?","Given two sorted linked lists, merge them into one sorted linked list by splicing nodes together."
"What is the core strategy?","Use two pointers (one for each list). Compare values, pick smaller, move that pointer. Repeat until done."
"What is a 'dummy node' and why use it?","A placeholder node at the start. Simplifies edge cases - we always have a 'previous' node to attach to. Return dummy.next."
"For list1=[1,4,7] and list2=[2,3,8], trace the merge.","Compare: 1<2→take 1, 4>2→take 2, 4>3→take 3, 4<8→take 4, 7<8→take 7, list1 done→take 8. Result: [1,2,3,4,7,8]"
"What happens when one list is exhausted?","Append the remaining portion of the other list directly (it's already sorted)."
"Write the iterative solution.","dummy = ListNode(0); current = dummy; while l1 and l2: if l1.val < l2.val: current.next = l1; l1 = l1.next; else: current.next = l2; l2 = l2.next; current = current.next; current.next = l1 if l1 else l2; return dummy.next"
"What does 'current.next = l1' do?","Links the current node to l1 (adds l1's node to our merged list)."
"What does 'l1 = l1.next' do?","Moves pointer to next node in list1. We've processed current l1 node, move on."
"What does 'current = current.next' do?","Advances current pointer in our merged list, ready to attach next node."
"Why 'current.next = l1 if l1 else l2' at the end?","One list may have remaining nodes. Whichever isn't None gets attached to complete the merge."
"What is the time complexity?","O(n + m) where n and m are lengths of the two lists. We visit each node once."
"What is the space complexity?","O(1) - we're reusing existing nodes, just changing pointers. No new nodes created."
"Can this be done recursively?","Yes! Base case: if one list is None, return the other. Recursive: compare heads, attach smaller, recurse with remaining."
"Write the recursive solution.","def merge(l1, l2): if not l1: return l2; if not l2: return l1; if l1.val < l2.val: l1.next = merge(l1.next, l2); return l1; else: l2.next = merge(l1, l2.next); return l2"
"What's the space complexity of recursive solution?","O(n + m) - call stack depth equals total number of nodes."
"Edge case: Both lists are empty.","Return None. The 'l1 if l1 else l2' handles this (both are None → returns None)."
"Edge case: One list is empty.","Return the non-empty list directly. It's already sorted."
"Edge case: Lists have different lengths.","Works fine - shorter list exhausts first, longer list's remainder is appended."
"How is this related to Merge Sort?","This IS the 'merge' step of Merge Sort! Merge Sort splits array, sorts halves, then merges using this technique."
"💡 AHA: What's the mental model?","Like merging two sorted decks of cards. Look at top cards, pick smaller, place in result pile. Repeat until both decks empty."
