Question,Answer
"SIGNAL: Tree level-order traversal (visit all nodes at depth 1, then depth 2, etc). What pattern?","BFS. Use queue. Process all nodes at current level before moving to next level."
"SIGNAL: Shortest path in unweighted graph. What pattern?","BFS. First arrival at any node is via shortest path. BFS explores by distance."
"SIGNAL: Minimum number of steps/moves/transformations. What pattern?","BFS. Each 'step' is one level. BFS guarantees minimum because it explores all K-step states before (K+1)-step states."
"SIGNAL: Find nearest X for each cell in grid. What pattern?","Multi-source BFS. Start from ALL X cells simultaneously, spread outward. Each cell records distance when first reached."
"WHY: Why does BFS guarantee shortest path in unweighted graphs?","BFS explores in waves by distance. All distance-1 nodes before distance-2. First time reaching a node = shortest path."
"WHY: Why use queue (FIFO) for BFS?","FIFO ensures nodes are processed in order they were discovered. This maintains level-by-level exploration."
"WHY: Why must we track visited nodes in graph BFS but not always in tree BFS?","Graphs can have cycles - without visited, we'd loop forever. Trees have no cycles, but visited can still optimize."
"SCENARIO: 'Word Ladder' - transform 'hit' to 'cog', one letter at a time. Pattern?","BFS! Each word is a node. Edges connect words differing by one letter. BFS finds shortest transformation path."
"SCENARIO: 'Rotting Oranges' - oranges rot neighbors each minute, find time to rot all. Pattern?","Multi-source BFS. Start from all rotten oranges. Each BFS level = 1 minute. Answer = number of levels."
"SCENARIO: 'Binary Tree Right Side View' - what you'd see from right side. Pattern?","BFS level-order. For each level, take the LAST node (rightmost). That's what's visible from right."
"COSTUME: 'Open the Lock' - minimum turns from 0000 to target. Pattern?","BFS on state space! Each state is a lock combination. Neighbors = single-digit turns. BFS = min turns."
"COSTUME: '01 Matrix' - distance to nearest 0 for each cell. Pattern?","Multi-source BFS from ALL 0 cells. Distance spreads outward. Each cell gets distance when first reached."
"COSTUME: 'Shortest Path in Binary Matrix' - 8-directional movement. Pattern?","BFS in grid. Each cell is node, 8 neighbors are edges. BFS from (0,0) to (n-1,n-1)."
"ANTI-PATTERN: Shortest path in WEIGHTED graph - BFS?","NO! BFS assumes all edges have equal weight (1). Use Dijkstra for weighted graphs."
"ANTI-PATTERN: Find ALL paths from A to B - BFS?","BFS finds shortest, not all. Use DFS with backtracking to enumerate all paths."
"COMPARISON: BFS vs DFS - when to choose BFS?","BFS for: shortest path, minimum steps, nearest neighbor, level-order. DFS for: all paths, connectivity, deep exploration."
"TECHNIQUE: How to process tree level-by-level in BFS?","Snapshot queue size BEFORE processing: level_size = len(queue). Loop level_size times. This separates levels."
"TECHNIQUE: What is Multi-source BFS?","Start BFS from MULTIPLE sources simultaneously. Add all sources to initial queue. Used for 'nearest X' problems."
"EDGE: What if BFS queue becomes empty before reaching target?","Target is unreachable from source. Return -1 or appropriate 'not found' value."
"MENTAL MODEL: How to visualize BFS?","Ripples in a pond. Stone drop = start. Waves spread outward in rings. Each ring = one level/distance."
