Question,Answer
"SIGNAL: Items with weight/value, limited capacity, maximize value, each item used once. What pattern?","0/1 Knapsack DP. Take or don't take each item. dp[i][w] = best value with first i items and capacity w."
"SIGNAL: Can array be partitioned into two subsets with equal sum? What pattern?","0/1 Knapsack DP! Capacity = sum/2. Check if dp[n][sum/2] is achievable."
"SIGNAL: Assign + or - to numbers to reach target sum. What pattern?","0/1 Knapsack DP (Target Sum). Reframe: find subset with sum = (total + target) / 2."
"SIGNAL: Constrained optimization: best result within some limit. What pattern?","Likely 0/1 Knapsack DP if each item used once. Check for optimal substructure."
"WHY: Why does 0/1 Knapsack have overlapping subproblems?","Same (items, capacity) state reached via different paths. E.g., (3 items, capacity 5) can be reached multiple ways."
"WHY: Why iterate capacity BACKWARDS in 1D space-optimized Knapsack?","To prevent using same item multiple times. Going backwards ensures dp[w - weight] hasn't been updated in current round."
"WHY: Why is 0/1 Knapsack O(n × W)?","n items × W capacity states. Each state computed once. Filling DP table is n × W."
"SCENARIO: Items: [(weight=1, value=1), (w=3, v=4), (w=4, v=5)], capacity=4. Find max value.","Take item 2 (w=3, v=4) or item 3 (w=4, v=5). Best: take item 1+2 (w=4, v=5). Or just item 3 (v=5). Max = 5."
"SCENARIO: 'Partition Equal Subset Sum' - [1,5,11,5]. Can partition?","Sum = 22, need sum/2 = 11. Check if subset sums to 11. [11] or [1,5,5]. Yes, partition possible."
"SCENARIO: 'Target Sum' - [1,1,1,1,1], target=3. How many ways?","Need to assign +/- to reach 3. Convert: find subset with sum = (5+3)/2 = 4. Count ways to reach sum 4."
"COSTUME: 'Last Stone Weight II' - smash stones, minimize final weight. Pattern?","0/1 Knapsack! Partition into two groups, minimize |S1 - S2|. Maximize S1 where S1 ≤ total/2. Answer = total - 2×S1."
"COSTUME: 'Ones and Zeroes' - select binary strings with limited 0s and 1s. Pattern?","2D 0/1 Knapsack! Two constraints (max m zeros, max n ones). dp[i][j] = max strings with i zeros, j ones."
"COSTUME: 'Coin Change' with limited coins (each coin used once) - Pattern?","0/1 Knapsack. Different from unlimited coin change which is Unbounded Knapsack."
"ANTI-PATTERN: 'Coin Change' with unlimited coins - 0/1 Knapsack?","NO! That's Unbounded Knapsack. Items can be reused. Different DP formulation."
"ANTI-PATTERN: Generate all subsets - 0/1 Knapsack?","NO! Use Backtracking to generate. 0/1 Knapsack finds optimal value, not all subsets."
"COMPARISON: 0/1 Knapsack vs Unbounded Knapsack - key difference?","0/1: each item used at most ONCE. Unbounded: each item used UNLIMITED times. Different state transitions."
"TECHNIQUE: How to convert 'Partition Equal Sum' to Knapsack?","Capacity = sum/2. Values = weights = elements. Check if dp[n][sum/2] == sum/2 (exactly achievable)."
"TECHNIQUE: How to track WHICH items were selected?","After filling DP, backtrack: if dp[i][w] ≠ dp[i-1][w], item i was taken. Follow the path."
"EDGE: What if sum is odd in 'Partition Equal Subset Sum'?","Impossible to partition into equal sums. Return False immediately."
"MENTAL MODEL: How to visualize 0/1 Knapsack?","Packing a backpack: each item - take it or leave it. Table rows = items considered, columns = capacity used."
