Question,Answer
"SIGNAL: Longest substring with no repeating characters. What pattern?","Sliding Window. Signal: substring + constraint (no repeating). Expand right, shrink left when char repeats."
"SIGNAL: Contiguous subarray with constraint on elements. What pattern?","Sliding Window. The golden rule: Subarray/Substring + Constraint = Sliding Window."
"SIGNAL: Find shortest subarray with sum ≥ target. What pattern?","Sliding Window. Signal: subarray + constraint (sum ≥ target). Expand to meet target, shrink to minimize length."
"SIGNAL: Maximum sum of any subarray of size K. What pattern?","Sliding Window (fixed-size variant). Build K-window, then slide: add right element, remove left element."
"WHY: Why is Sliding Window O(n) instead of O(n²)?","Each element enters window at most once (right pointer) and leaves at most once (left pointer). Total: 2n operations."
"WHY: Why do we shrink with 'while' not 'if' when constraint violated?","One shrink may not restore validity. Keep shrinking until window is valid again, then continue expanding."
"WHY: Why does Sliding Window need contiguous elements?","The window represents a continuous segment. If elements could be skipped, it's not a 'window' but a selection problem (different pattern)."
"SCENARIO: 'Fruits Into Baskets' - collect fruits, max 2 types. Pattern?","Sliding Window! This IS 'Longest subarray with at most 2 distinct'. Signal: contiguous + constraint on distinct count."
"SCENARIO: 'Max Consecutive Ones III' - flip at most K zeros. Pattern?","Sliding Window. Reframe: longest subarray with at most K zeros. Constraint = count of zeros ≤ K."
"SCENARIO: 'Permutation in String' - check if s2 contains permutation of s1. Pattern?","Sliding Window (fixed-size). Window size = len(s1). Slide and compare character frequencies."
"COSTUME: 'Fruits Into Baskets' vs 'Longest Substring K Distinct' - same or different?","SAME PATTERN! Both ask: longest contiguous sequence with at most K distinct elements. Different words, identical logic."
"COSTUME: 'Longest Repeating Character Replacement' - what's the real pattern?","Sliding Window. Reframe: longest substring where (length - max_char_count) ≤ K. Constraint = number of replacements."
"COSTUME: 'Minimum Window Substring' - what pattern?","Sliding Window. Signal: shortest substring containing all required characters. Expand to include all, shrink to minimize."
"ANTI-PATTERN: 'Find two numbers that sum to target' - Sliding Window?","NO! This is Two Pointers. No contiguous constraint. We're finding a PAIR, not a subarray."
"ANTI-PATTERN: 'Longest Increasing Subsequence' - Sliding Window?","NO! Subsequence ≠ Subarray. Subsequence can skip elements. Use DP instead."
"ANTI-PATTERN: 'Range sum query (sum from index i to j)' - Sliding Window?","Usually Prefix Sum is better. Sliding Window is for 'find longest/shortest with constraint', not arbitrary range queries."
"COMPARISON: Sliding Window vs Two Pointers - how to decide?","Sliding Window: CONTIGUOUS window + CONSTRAINT. Two Pointers: PAIRS/TRIPLETS + usually SORTED + COMPARISON logic."
"EDGE: What if window shrinks to size 0?","That's valid! It means no single element satisfies the constraint starting from current position. Continue expanding."
"EDGE: How to track 'distinct count' efficiently in window?","Use HashMap: {element: count}. When count drops to 0, remove from map. distinct_count = map.size()."
"MENTAL MODEL: How to visualize Sliding Window?","Caterpillar crawling: head (right) explores, tail (left) follows to maintain valid body length. Body = current window."
