Question,Answer
"What is the core strategy for Spiral Matrix?","Simulation with Boundaries. Maintain `top`, `bottom`, `left`, `right` pointers and shrink them inwards."
"What are the 4 traverse directions in order?","1. Left to Right (Top row). 2. Top to Bottom (Right col). 3. Right to Left (Bottom row). 4. Bottom to Top (Left col)."
"When do we increment `top`?","After traversing the Top Row (Left -> Right). `top += 1`."
"When do we decrement `right`?","After traversing the Right Column (Top -> Bottom). `right -= 1`."
"When do we decrement `bottom`?","After traversing the Bottom Row (Right -> Left). `bottom -= 1`."
"When do we increment `left`?","After traversing the Left Column (Bottom -> Top). `left += 1`."
"❌ MISTAKE: What is the 'Corner Turn' crash?","Overlapping boundaries or processing the same row/col twice without checking break conditions."
"What is the termination condition for the loop?","`while left < right and top < bottom`. (Depending on inclusive/exclusive logic)."
"Why do we need an extra check `if not (left < right and top < bottom)` in the middle?","After moving Top and Right, the remaining rows/cols might be zero. We must check before doing Bottom and Left."
"How many elements do we process?","Exacty `m * n` elements."
"What is the Time Complexity?","O(M * N). We visit each cell exactly once."
"What is the Space Complexity?","O(1) (excluding result list). We only store boundary variables."
"In Python `range(left, right)`, is `right` inclusive?","No. It goes up to `right - 1`. This fits perfectly if `right` is the boundary *after* the last element."
"For loop: `for i in range(left, right)` handles which part?","The Top Row."
"For loop: `for i in range(top, bottom)` handles which part?","The Right Column."
"For loop: `for i in range(right - 1, left - 1, -1)` handles which part?","The Bottom Row (Reverse order)."
"For loop: `for i in range(bottom - 1, top - 1, -1)` handles which part?","The Left Column (Reverse order)."
"What happens if matrix is 1xN (Single Row)?","Loop runs once for Top Row. Loop breaks before Bottom Row because `top` became `> bottom`."
"What happens if matrix is Nx1 (Single Column)?","Top Row loop runs (1 element). Right Col runs (rest). Bottom/Left loops skipped."
"💡 AHA MOMENT: The 'Wall' Analogy","Imagine the boundaries are walls closing in. After painting a wall, you move it one step inward so you don't paint it again."
