Question,Answer
"What is the core idea of Binary Search?","Repeatedly divide search space in half. Compare middle element with target, eliminate half each iteration."
"What is the time complexity of Binary Search?","O(log n) - halving search space each iteration means log₂(n) iterations max."
"What is the space complexity of Binary Search?","O(1) for iterative, O(log n) for recursive (call stack)."
"What is the PREREQUISITE for Binary Search?","Array must be SORTED. Binary Search doesn't work on unsorted arrays."
"❌ MISTAKE #1: What's wrong with calculating mid OUTSIDE the loop?","mid is calculated ONCE and never changes! As left/right move, mid stays frozen → infinite loop."
"Why must mid be recalculated INSIDE the loop?","mid depends on current left and right values. After each iteration, boundaries change, so mid must update."
"❌ MISTAKE #2: What's wrong with 'while left < right'?","Misses edge case when left == right (single element). For nums=[5], target=5: left=0, right=0, loop doesn't run!"
"Why use 'while left <= right' instead of 'while left < right'?","<= includes the case where left == right, ensuring single elements are checked. Without it, valid targets are missed."
"❌ MISTAKE #3: What's wrong with 'right = len(nums)'?","Index out of bounds! If len(nums)=5, valid indices are 0-4. right should be len(nums) - 1."
"What are the correct initial values for left and right?","left = 0, right = len(nums) - 1. Both are INCLUSIVE valid indices."
"Why use 'mid = left + (right - left) // 2' instead of '(left + right) // 2'?","Prevents integer overflow. If left + right exceeds max int, it overflows. The safer formula avoids this."
"When target < nums[mid], which boundary moves?","right = mid - 1. Target is in the LEFT half, so eliminate right half including mid."
"When target > nums[mid], which boundary moves?","left = mid + 1. Target is in the RIGHT half, so eliminate left half including mid."
"What does returning -1 mean in Binary Search?","Target not found in the array after exhausting all possibilities."
"Write the complete Binary Search code.","def search(nums, target): left, right = 0, len(nums)-1; while left <= right: mid = left + (right-left)//2; if nums[mid] == target: return mid; elif target < nums[mid]: right = mid-1; else: left = mid+1; return -1"
"For nums=[-1,0,3,5,9,12], target=9, trace the search.","left=0,right=5,mid=2(3). 9>3→left=3. left=3,right=5,mid=4(9). Found! Return 4."
"For nums=[-1,0,3,5,9,12], target=2, trace the search.","mid=2(3),2<3→right=1. mid=0(-1),2>-1→left=1. mid=1(0),2>0→left=2. left>right→not found, return -1."
"What are the THREE critical points to remember for Binary Search?","1) Recalculate mid INSIDE loop 2) Use while left <= right 3) Initialize right = len(nums) - 1"
"How many iterations for an array of 1 million elements?","log₂(1,000,000) ≈ 20 iterations. Binary Search is incredibly efficient!"
"💡 AHA: Why is Binary Search so powerful?","Each comparison eliminates HALF the remaining elements. 1 billion elements → only ~30 comparisons needed!"
