Question,Answer
"What is the Find Missing Number problem?","Array has n distinct integers from range 0→n. Since range has n+1 numbers but array has n, find the ONE missing number."
"Why use Cyclic Sort for Find Missing Number?","Range is contiguous (0→n), need O(N) time O(1) space. Perfect fit for Cyclic Sort!"
"For range 0→N, why is correct_index = nums[i] (not nums[i]-1)?","Range starts at 0, so number X belongs at index X directly. Number 0 → index 0, Number 3 → index 3."
"🚫 HOMELESS PROBLEM: What about the number n in range 0→n?","Array has indices 0 to n-1. Number n would need index n, which doesn't exist! n is 'homeless' - must skip it during sort."
"How do we handle the 'homeless' number n during sorting?","Check if nums[i] < n before swapping. If nums[i] == n, skip it (i++) because it has no home."
"❌ MISTAKE: What's wrong with 'while i < len(n)'?","n is an integer, not a list! Can't use len() on an integer. CORRECT: 'while i < n' or 'while i < len(nums)'"
"❌ MISTAKE: Why must correct_index be calculated INSIDE the loop?","If calculated outside, it never updates after swaps! Value is 'frozen' at initial value. Must recalculate each iteration."
"❌ MISTAKE: What's wrong with 'return len(nums) + 1' in the else block inside the for loop?","This returns immediately at index 0 if it's correct! Loop never checks other indices. Move return OUTSIDE the loop."
"After Cyclic Sort, how do we find the missing number?","Scan array: if nums[i] != i, then i is missing. If all positions correct, missing number is n (the homeless one)."
"For [3,0,1] with n=3, trace the algorithm.","Sort: 3 is homeless (skip), 0→idx0 (swap→[0,3,1]), 3 homeless (skip), 1→idx1 (swap→[0,1,3]). Scan: all correct → missing is n... wait, check index 2: nums[2]=3≠2, so 2 is missing!"
"What's the 'Missing Giant' edge case?","When all numbers 0 to n-1 are present and only n is missing. After sort, every position is correct. Must return n as default."
"🎓 CLASSROOM ANALOGY: 4 students (A,B,C,D), 3 desks. If desks have A,B,C - who's missing?","D is missing! Similarly, if indices 0,1,2 have numbers 0,1,2, the missing number must be 3 (n)."
"Write the complete Find Missing Number code.","def find(nums): i,n=0,len(nums); while i<n: c=nums[i]; if c<n and c!=nums[c]: nums[i],nums[c]=nums[c],nums[i]; else: i+=1; for i in range(n): if nums[i]!=i: return i; return n"
"What is the time complexity?","O(N) - Cyclic Sort is O(N), scanning is O(N). Total O(N)."
"What is the space complexity?","O(1) - in-place modification, only a few variables."
"Why check 'c < n' before swapping?","To skip the homeless number n. If nums[i] == n, we can't place it (no valid index), so just move on."
"What's the swap condition for this problem?","if nums[i] < n and nums[i] != nums[correct_idx]: swap. The 'nums[i] < n' handles the homeless case."
"❌ MISTAKE: Complex if/elif/else making logic confusing. How to simplify?","Combine conditions: 'if val < n and val != nums[val]: swap' else 'i++'. All skip cases go to else."
"For [0,1,2] with n=3, what is the answer?","After 'sort' (already sorted!), scan shows all correct: nums[0]=0✓, nums[1]=1✓, nums[2]=2✓. Return n = 3."
"💡 AHA: What's the key insight for handling range 0→N?","Two rules: 1) correct_index = nums[i] (not -1). 2) Skip number n (homeless). 3) Default return is n if all else correct."
