Question,Answer
"SIGNAL: Detect if linked list has a cycle. What pattern?","Fast & Slow Pointers. Fast moves 2 nodes, slow moves 1. If cycle, they meet. If no cycle, fast reaches null."
"SIGNAL: Find the starting node of cycle in linked list. What pattern?","Fast & Slow Pointers (two-phase). Phase 1: detect cycle. Phase 2: reset one to head, both move speed 1, meet at start."
"SIGNAL: Find middle element of linked list in one pass. What pattern?","Fast & Slow Pointers. When fast reaches end, slow is at middle. Fast moves 2x speed of slow."
"SIGNAL: Determine if a number is 'happy' (digit squares eventually reach 1). What pattern?","Fast & Slow Pointers! Treat digit-sum as 'next node'. If cycle detected that doesn't include 1, not happy."
"WHY: Why will fast and slow pointers ALWAYS meet if there's a cycle?","Fast gains 1 node per step on slow. This is like closing a gap of 1 each step. Eventually gap becomes 0 (they meet)."
"WHY: Why does resetting one pointer to head find cycle start?","Mathematical proof: distance from head to cycle start equals distance from meeting point to cycle start (going through cycle)."
"WHY: Why is slow at middle when fast reaches end?","Fast moves 2 nodes per step, slow moves 1. When fast has traveled n, slow has traveled n/2. If n is full length, slow is at middle."
"SCENARIO: Linked list 1→2→3→4→3 (4 points back to 3). Detect cycle.","Fast=1, Slow=1. Fast→3, Slow→2. Fast→4, Slow→3. Fast→3, Slow→4. Fast→4, Slow→3... Eventually meet in cycle."
"SCENARIO: 'Happy Number' - 19 → 1²+9²=82 → 8²+2²=68 → ... Pattern?","Fast & Slow on digit transformation. Compute 'next' by summing digit squares. Check if cycle reaches 1 or loops forever."
"SCENARIO: Find middle of 1→2→3→4→5. Walk through.","Fast=1, Slow=1. Fast→3, Slow→2. Fast→5, Slow→3. Fast.next=null. Stop. Slow=3 (middle!)."
"COSTUME: 'Find the Duplicate Number' in array [1,3,4,2,2]. Pattern?","Fast & Slow! Treat array as linked list: index i points to nums[i]. Duplicate = cycle. Find cycle start."
"COSTUME: 'Palindrome Linked List' - check if list is palindrome. Pattern?","Fast & Slow to find middle, reverse second half, compare with first half."
"COSTUME: 'Reorder List' - L0→Ln→L1→Ln-1→... Pattern?","Fast & Slow to find middle, reverse second half, merge alternating."
"ANTI-PATTERN: Array pair finding (like Two Sum) - Fast & Slow?","NO! Fast & Slow is for linked lists. Use Two Pointers or Hash Map for arrays."
"ANTI-PATTERN: Shortest path in graph - Fast & Slow?","NO! Use BFS. Fast & Slow is specifically for cycle detection and middle finding."
"COMPARISON: Fast & Slow vs Two Pointers - when to use each?","Fast & Slow: linked list cycles, middle finding. Two Pointers: array pairs, sorted array operations."
"TECHNIQUE: What's the null check condition for fast pointer?","while fast AND fast.next: This ensures fast can move 2 steps without null pointer error."
"TECHNIQUE: For even-length list, which middle does slow land on?","With 'while fast and fast.next', slow lands on FIRST middle (left one). Adjust logic if second middle needed."
"EDGE: What if linked list has only 1 node?","Fast = slow = head. Loop condition fails immediately. No cycle (or slow IS the middle for middle-finding)."
"MENTAL MODEL: How to visualize Fast & Slow?","Tortoise and Hare on a track. Hare runs 2x speed. Circular track: Hare laps Tortoise. Straight track: Hare finishes first."
