Front,Back
What is a URL shortener?,A service that maps a long URL to a short alias (e.g. 7 chars). When a user visits the short URL they are redirected to the original. Examples: TinyURL / Bit.ly / goo.gl / t.co.
What are the two core operations of a URL shortener?,1) URL Shortening: POST longURL → receive shortURL. 2) URL Redirecting: GET shortURL → 301/302 redirect to longURL.
What is the back-of-envelope write QPS for 100M URLs/day?,100,000,000 ÷ 86,400 ≈ 1,160 writes/sec.
What is the back-of-envelope read QPS for a URL shortener with 10:1 read:write ratio?,11,600 reads/sec (10 × 1,160).
How much storage does a URL shortener need over 10 years at 100M URLs/day?,365 billion records × ~100 bytes = ~36.5 TB (often cited as ~365 TB with overhead and indexes).
Why is n=7 the minimum hash length for a URL shortener supporting 365B URLs?,62^7 = 3.5 trillion. Covers 365B needed with a 10× safety margin. 62^6 = 56.8B which is insufficient.
What character set does Base62 use and why not Base64?,Base62: 0-9 + a-z + A-Z (62 chars). Base64 adds + / = which are URL-unsafe and require percent-encoding — defeating the 'short' purpose.
What is the difference between 301 and 302 HTTP redirects in the context of URL shorteners?,"301 = Permanent: browser caches, bypasses server, reduces load, but can't track clicks. 302 = Temporary: browser always hits server, allows analytics tracking. Use 302 when analytics needed."
When should you use 301 vs 302 for URL shortening?,"Use 302 when analytics/click tracking is needed (most commercial URL shorteners). Use 301 when minimizing server load is the priority and analytics don't matter. The answer is: it depends on requirements."
What is the URL shortening API endpoint design?,POST /api/v1/data/shorten with body {longUrl: '...'} → returns {shortUrl: '...'}. Authenticated via API key. Rate limited.
What is the URL redirecting API endpoint design?,GET /api/v1/{shortUrl} → returns 301 or 302 with Location header pointing to longUrl. Returns 404 if not found.
What is the URL table schema for a URL shortener?,"CREATE TABLE url (id BIGINT PK AUTO_INCREMENT, short_url VARCHAR(7) UNIQUE, long_url TEXT, created_at TIMESTAMP, expiry_date TIMESTAMP NULL). Index on both short_url and long_url."
Why index the long_url column in the URL table?,To support idempotency checks: SELECT short_url WHERE long_url = ? This allows returning the existing shortURL when the same longURL is submitted again.
What are the two approaches to generating shortURLs?,"1) Hash + Collision Resolution: apply MD5/SHA-1 to longURL, take first 7 chars, resolve collisions. 2) Base62 Conversion: generate unique auto-increment ID, convert to Base62 string."
What is the hash + collision resolution algorithm for URL shortening?,"hash = MD5(longURL)[:7]; if collision: append predefined salt to longURL and rehash. Use Bloom filter to avoid DB lookup on each new URL: if Bloom says 'not exists' → safe to insert without DB read."
What is a Bloom filter and how does it help with collision resolution?,"A probabilistic data structure. Lookup result: 'definitely NOT in set' (no false negatives) or 'probably in set' (false positives possible). For URL shortener: if Bloom says 'not exists', skip DB read. Only query DB on 'probably exists'. Eliminates most DB reads."
