Question,Answer
"What is a Graph?","A collection of nodes (vertices) and edges connecting them. Can be directed/undirected, weighted/unweighted."
"What is an Adjacency Matrix?","A 2D array where `grid[i][j]` represents an edge between node `i` and `j`. Space O(V^2)."
"What is an Adjacency List?","A dictionary or array of lists where `graph[i]` contains neighbors of node `i`. Space O(V + E)."
"When is Adjacency Matrix preferred?","For dense graphs (many edges) or when frequent edge lookup (O(1)) is needed."
"When is Adjacency List preferred?","For sparse graphs (few edges). Most coding interview problems use this."
"What is BFS (Breadth-First Search)?","Traversal layer-by-layer. Uses a Queue (FIFO). Good for shortest path in unweighted graphs."
"What is DFS (Depth-First Search)?","Traversal deep into one path before backtracking. Uses a Stack (LIFO) or Recursion."
"What is a Connected Component?","A subgraph where any two vertices are connected to each other by paths."
"How do you count Connected Components?","Loop through all nodes. If unvisited, start BFS/DFS and increment count."
"What is Topological Sort?","Linear ordering of vertices in a Directed Acyclic Graph (DAG) such that for every edge u->v, u comes before v."
"What algorithm is used for Topological Sort?","Kahn's Algorithm (BFS with In-degrees) or DFS (Post-order reverse)."
"What is a Cycle in a graph?","A path that starts and ends at the same vertex."
"How to detect a cycle in Undirected Graph?","BFS/DFS with `visited` set. If you meet a visited neighbor that is NOT your parent, there is a cycle."
"How to detect a cycle in Directed Graph?","DFS with `path` (recursion stack) set. If you meet a node in the current recursion stack, there is a cycle."
"What is Dijkstra's Algorithm?","Finds shortest path in Weighted Graph (non-negative weights). Uses Priority Queue."
"What is the Time Complexity of BFS/DFS?","O(V + E). We visit every vertex and every edge."
"What is the Space Complexity of BFS/DFS?","O(V) for visited array and queue/stack."
"What is Bipartite Graph?","A graph where vertices can be divided into two sets such that all edges connect a vertex in one set to one in the other."
"How to check Bipartite?","Graph Coloring (BFS/DFS). Color nodes Red/Blue. If a neighbor has same color -> False."
"What is Union-Find (Disjoint Set)?","Data structure to track elements partitioned into disjoint sets. Supports `find` and `union`."
"What is Path Compression in Union-Find?","Optimization where `find(x)` points x directly to the root, flattening the tree."
"What is Union by Rank/Size?","Optimization where smaller tree is attached to larger tree to keep height minimal."
"Time Complexity of Optimized Union-Find?","Almost O(1) (Inverse Ackermann function)."
"What is Kruskal's Algorithm?","MST (Minimum Spanning Tree) using Union-Find. Sort edges by weight, add if no cycle."
"What is Prim's Algorithm?","MST using Priority Queue. Grow tree from start node by always picking smallest edge to unvisited node."
"Difference between Tree and Graph?","A Tree is a connected graph with N nodes and N-1 edges (No cycles). Graph can have cycles."
"What is 'Indegree'?","Number of edges coming INTO a node (Directed graph)."
"What is 'Outdegree'?","Number of edges going OUT of a node (Directed graph)."
"Why is BFS better for Shortest Path (Unweighted)?","Because it guarantees reaching nodes in minimal steps (layers)."
"Can DFS find Shortest Path?","Not efficiently. It might go down a long path first. Requires exploring all paths to be sure."
