Question,Answer
"What pattern does 'Product of Array Except Self' use?","Prefix Product pattern - compute left products and right products, then multiply."
"What does left[i] represent in this problem?","Product of all elements from index 0 to i (INCLUSIVE of nums[i])."
"What does right[i] represent in this problem?","Product of all elements from index i to end (INCLUSIVE of nums[i])."
"What is the magic formula for output[i]?","output[i] = left[i-1] * right[i+1] - product of everything EXCEPT nums[i]."
"What is the time complexity?","O(n) - Two passes through the array (left pass + right pass)."
"What is the space complexity of the optimal solution?","O(1) - Using output array itself, no extra arrays (output doesn't count as extra space)."
"Why can't we just divide total product by nums[i]?","Problem explicitly says 'without using division'. Also, zeros would cause division by zero."
"How do we handle output[0] (no left elements)?","output[0] = right[1] - just the product of everything to the right."
"How do we handle output[n-1] (no right elements)?","output[n-1] = left[n-2] - just the product of everything to the left."
"For input [1,2,3,4], what is left array?","[1, 2, 6, 24] - cumulative products including each element."
"For input [1,2,3,4], what is right array?","[24, 24, 12, 4] - cumulative products from right including each element."
"For input [1,2,3,4], what is the output?","[24, 12, 8, 6] - each element is product of all others."
"In Phase 1 (building left), what's the order of operations?","FIRST multiply: product *= nums[i], THEN append: output.append(product)."
"In Phase 2, what formula do we use?","output[i] = output[i-1] * product, then update: product *= nums[i]."
"What's the loop direction in Phase 2?","Right to left: for i in range(length-1, 0, -1), then handle output[0] separately."
