Question,Answer
"What is Heapify?","Process of converting a binary tree into a valid Heap (Max or Min) by fixing violations."
"What is the Time Complexity of building a heap using Heapify (Bottom-Up)?","O(N). This is more efficient than inserting elements one by one which takes O(N log N)."
"Why is Bottom-Up Heapify O(N)?","Because we process more nodes at the bottom (where height is small) and fewer nodes at the top (where height is large). The sum of work converges to linear time."
"What is the starting index for Bottom-Up Heapify?","`(n // 2) - 1`. This is the index of the **last non-leaf node**. We skip leaves because they are already valid heaps."
"How does the Sift-Down (Bubble-Down) operation work?","Compare parent with largest child. If parent < largest child, SWAP. Repeat for the new position until valid or leaf."
"What is the 'Negation Trick' in Python heaps?","Python's `heapq` is a Min-Heap. To simulate a Max-Heap, store negated values (`-val`). Largest real value becomes smallest negated value."
"Why use Heap over Sorting for 'Top K' problems?","Sorting takes O(N log N). Heap takes O(N log K). When K is small (K << N), Heap is significantly faster."
"What is the relationship between parent and children indices in array-based Heap?","Left Child: `2*i + 1`. Right Child: `2*i + 2`. Parent: `(i - 1) // 2`."
"What is a Complete Binary Tree?","A tree where every level is filled except possibly the last, which is filled from left to right. Heaps must be complete."
"Why do we check `if len(heap) > k` in Top K pattern?","To discard the 'worst' element (e.g., largest distance) once we exceed capacity K, keeping only the best K elements."
"What is the 'VIP Club' Analogy for Top K Largest?","To keep the K Richest people, you track the **Poorest** inside (Min-Heap). If a new person is richer than the Poorest, kick out the Poorest and let the new person in."
"What is the 'Lifeboat' Analogy for Top K Smallest?","To keep the K Lightest people, you track the **Heaviest** inside (Max-Heap). If a new person is lighter than the Heaviest, throw out the Heaviest and let the new person in."
"In the 'VIP Club' (Top K Largest), what does the Root Node represent?","The 'Poorest' member of the club (Min Value). This is the candidate to be evicted if a richer person arrives."
"In the 'Lifeboat' (Top K Smallest), what does the Root Node represent?","The 'Heaviest' person on the boat (Max Value). This is the candidate to be evicted if a lighter person arrives."
"Why is Bottom-Up Heapify order crucial?","Processing from last parent to root guarantees that when we fix a node, **both its subtrees are already valid heaps**."
"What happens if you run Heapify Top-Down?","It fails or becomes O(N log N). Swapping a parent might break a subtree that was already 'fixed', requiring multiple passes."
"What is the key principle of Bottom-Up Heapify?","A node only needs ONE sift-down operation to find its correct position because its children are already heap-roots."
"Visual Proof: Which nodes are processed first in Heapify?","The nodes just above the leaves (Indices near `n/2`). We work backwards to the root (Index 0)."
"Why does `(n // 2) - 1` identify the last parent?","Indices `n // 2` to `n - 1` are leaves. The node just before the first leaf is the last parent."
"Mathematical intuition: Why does the work decrease as we go up?","There are N/2 leaves (height 0, work 0). N/4 nodes at height 1 (work 1). Only 1 root at height log N. Most nodes do very little work."
