Question,Answer
"SIGNAL: Find element in sorted array. What pattern?","Binary Search. Sorted + search = binary search. Compare mid, eliminate half."
"SIGNAL: Find minimum speed/capacity to complete task within limit. What pattern?","Binary Search on Answer Space. Define range of possible answers, binary search for minimum feasible."
"SIGNAL: Find first occurrence of value in sorted array. What pattern?","Binary Search (boundary finding). When found, don't return immediately - continue searching left for earlier occurrence."
"SIGNAL: Array was sorted then rotated, find element. What pattern?","Modified Binary Search. One half is always sorted. Determine which half target is in."
"WHY: Why does Binary Search require sorted/monotonic property?","To guarantee one half can be eliminated. If not sorted, middle comparison tells you nothing about which half contains target."
"WHY: Why use 'mid = left + (right - left) // 2' instead of '(left + right) // 2'?","Prevents integer overflow. If left and right are both large, their sum could overflow."
"WHY: Why is Binary Search O(log n)?","Each step halves search space: n → n/2 → n/4 → ... → 1. Takes log₂(n) steps."
"SCENARIO: 'Koko Eating Bananas' - eat all bananas in H hours, find min speed. Pattern?","Binary Search on Answer Space! Search space = [1, max_pile]. For each speed, check if feasible in H hours."
"SCENARIO: 'Find Peak Element' - array not sorted. Why binary search works?","Because of monotonic property: if mid < mid+1, peak exists on right. If mid > mid+1, peak on left or at mid."
"SCENARIO: Rotated sorted array [4,5,6,7,0,1,2], find 0. How?","Check which half is sorted (compare mid with left). If target in sorted half, search there. Else search other half."
"COSTUME: 'First Bad Version' - find first bad in sequence of versions. Pattern?","Binary Search (boundary finding). Binary search for first position where isBad(version) is True."
"COSTUME: 'Search Insert Position' - where would target be inserted? Pattern?","Binary Search. Find first position where nums[i] >= target. Return that position."
"COSTUME: 'Sqrt(x)' - find integer square root. Pattern?","Binary Search on Answer Space. Search [0, x] for largest n where n*n <= x."
"ANTI-PATTERN: 'Find element in unsorted array' - Binary Search?","NO! Without sorted property, can't eliminate half. Use linear scan or hash map."
"ANTI-PATTERN: 'Find all occurrences in sorted array' - just binary search?","Binary search finds ONE occurrence. Need to find first and last with two binary searches, then count."
"COMPARISON: Binary Search vs Linear Scan trade-offs?","Binary: O(log n) but needs sorted + random access. Linear: O(n) but works on anything including linked lists."
"TEMPLATE: What's the difference between 'left <= right' and 'left < right'?","'<=' for finding exact value (exit when found). '<' for finding boundary (narrow down to single candidate)."
"EDGE: What if target doesn't exist in array?","Binary search returns -1 or insertion position depending on variant. Left pointer ends up at insertion point."
"EDGE: How to handle duplicates in binary search?","For first occurrence: when equal, keep searching left. For last occurrence: when equal, keep searching right."
"MENTAL MODEL: How to visualize binary search?","Guessing game: you guess middle, get 'higher' or 'lower' feedback, eliminate half possibilities each guess."
