Question,Answer
"What is the difference in 'Subsets II' vs 'Subsets'?","The input array contains DUPLICATES. We must not produce duplicate subsets."
"❌ MISTAKE: Why does the standard approach fail here?","If we have `[1, 2, 2]`, treating the two `2`s as distinct leads to `[1, 2(a)]` and `[1, 2(b)]`, which are identical subsets."
"What is the key rule for avoiding duplicates in Backtracking?","'If I EXCLUDE a number, I must SKIP all subsequent occurrences of that same number.'"
"What is the CRITICAL Precondition for Subsets II?","SORT the array (`nums.sort()`). Duplicates must be adjacent to detect and skip them."
"Why does `nums[i] == nums[i-1]` check work?","Because sorting groups duplicates together. If current equals previous, it's a duplicate."
"When exactly do we skip the duplicate?","In the EXCLUDE branch (or loop). If we decided NOT to include the first `2`, we shouldn't include the second `2` either."
"What is the code loop for skipping duplicates?","`while index + 1 < len(nums) and nums[index] == nums[index+1]: index += 1`."
"Why is the INCLUDE branch safe from skipping?","Because the Include branch explores `[2]`, then `[2, 2]`. It handles the 'count' of duplicates naturally."
"What is the Time Complexity of Subsets II?","Still O(N * 2^N). In worst case (no duplicates), it's the same as Subsets I."
"❌ MISTAKE: Forgetting `index + 1 < len(nums)`?","Index Out of Bounds error when checking `nums[index+1]` at the end of the array."
"Why do we need to sort?","[2, 1, 2]. Duplicates are far apart. Skipping `nums[i+1]` won't catch the second `2`. Sorting fixes this."
"Does `set(tuple(subset))` work?","Yes, but it's inefficient. It generates all duplicates and then filters. The optimal way prunes the tree early."
"What happens if input is `[1, 2, 2]` and we don't skip?","We get `[1, 2]` twice. Once using the first 2, once using the second 2."
"Logic: If I say NO to the first '2', why say NO to the second '2'?","Wait, if I say NO to first 2, I MUST say NO to second 2 to avoid duplicates of what the 'Yes' branch already covered."
"How does the recursion tree change?","Certain branches are pruned (cut off). The tree is smaller than 2^N."
"Is `nums.sort()` expensive?","O(N log N). Dominated by O(2^N), so it doesn't change overall complexity."
"What if we want Permutations with Duplicates?","Different logic (Swap based or usage array). Subsets is specifically about Include/Exclude."
"Why `path[:]` again?","Same as Subsets I. Reference vs Value. We need a snapshot."
"💡 AHA MOMENT: 'Adjacent Duplicates'","Sorting brings duplicates together, making them easy to manage with a simple `while` loop."
"If input is `[4, 4, 4, 1, 4]`?","Sort first -> `[1, 4, 4, 4, 4]`. Now logic works."
