Question,Answer
"SIGNAL: Generate all subsets of an array. What pattern?","Backtracking. At each element: include or exclude. 2^n total subsets."
"SIGNAL: Generate all permutations of an array. What pattern?","Backtracking. At each position: choose which remaining element. n! total permutations."
"SIGNAL: Find all combinations that sum to target. What pattern?","Backtracking. Build combinations, track sum, add when sum equals target."
"SIGNAL: Generate all valid parentheses of length n. What pattern?","Backtracking. At each position: add '(' or ')'. Constraints: open count ≤ n, close count ≤ open count."
"WHY: Why is backtracking output exponential?","Because we're enumerating possibilities. Subsets = 2^n (include/exclude each). Permutations = n! (orderings)."
"WHY: Why do we need to 'undo choice' in backtracking?","To restore state before trying next alternative. Without undo, state accumulates incorrectly across branches."
"WHY: Why add a COPY of current solution to result, not the reference?","Reference would change as we continue modifying. Copy preserves the solution at that moment."
"SCENARIO: Subsets of [1,2,3]. Decision tree?","Root: []. Level 1: include 1? → [1] or []. Level 2: include 2? → [1,2], [1], [2], []. Level 3: include 3? → 8 subsets total."
"SCENARIO: 'Combination Sum' - [2,3,6,7], target=7. Valid combinations?","[7] (use 7 once), [2,2,3] (use 2 twice, 3 once). Backtrack explores all paths summing to 7."
"SCENARIO: Permutations of [1,2]. Walk through.","Position 0: choose 1 or 2. If 1: position 1 must be 2 → [1,2]. If 2: position 1 must be 1 → [2,1]. Two permutations."
"COSTUME: 'Letter Combinations of Phone Number' - digits to letters. Pattern?","Backtracking. Each digit has multiple letter choices. Generate all combinations."
"COSTUME: 'Word Search' - find word in grid. Pattern?","Backtracking. At each cell, try all directions. Backtrack if path doesn't match."
"COSTUME: 'N-Queens' - place N queens on N×N board, no attacks. Pattern?","Backtracking. At each row, try each column. If valid placement, recurse to next row. Backtrack on conflict."
"ANTI-PATTERN: Find the MINIMUM cost path - Backtracking?","Usually DP is better. Backtracking enumerates all, but DP can find optimal efficiently with overlapping subproblems."
"ANTI-PATTERN: Count number of subsets (not generate them) - Backtracking?","If just counting: 2^n (formula). Backtracking generates each one - overkill for just counting."
"COMPARISON: Backtracking vs DP - when to use Backtracking?","Backtracking: need ALL solutions, generate combinations. DP: need OPTIMAL solution, count solutions, has overlapping subproblems."
"COMPARISON: Subsets vs Permutations - key difference?","Subsets: order doesn't matter, 2^n results. Permutations: order matters, n! results. Different decision trees."
"TECHNIQUE: How to handle duplicates in 'Subsets II'?","Sort input. At each level, if nums[i] == nums[i-1] AND i > start, skip. Prevents duplicate subsets."
"TECHNIQUE: What is 'pruning' in backtracking?","Early termination of invalid paths. E.g., if current sum > target, stop exploring. Saves time."
"EDGE: What if array is empty in Subsets problem?","One subset: the empty set []. Backtracking still works, immediately returns [[]]."
"MENTAL MODEL: How to visualize Backtracking?","Decision tree. Root = empty. Each branch = a choice. Each root-to-leaf path = one solution. Backtrack = DFS on this tree."
