Question,Answer
"SIGNAL: Find two numbers in unsorted array that sum to target. What pattern?","Hash Map. Store {value: index}, for each number lookup (target - number). O(n) time."
"SIGNAL: Count character frequencies in string. What pattern?","Hash Map. Key = character, value = count. Classic frequency counting pattern."
"SIGNAL: Check if two strings are anagrams. What pattern?","Hash Map. Compare frequency maps of both strings. Same frequencies = anagrams."
"SIGNAL: Group strings by some property. What pattern?","Hash Map. Key = computed property (e.g., sorted string), value = list of matches."
"WHY: Why use Hash Map instead of nested loops for Two Sum?","Nested loops = O(n²). Hash Map = O(n). Trade O(n) space for O(n²) → O(n) time improvement."
"WHY: Why does 'Two Sum' lookup BEFORE storing?","To avoid using the same element twice. If we stored first, we'd find the element as its own complement."
"WHY: Why is hash map O(1) lookup while array search is O(n)?","Hash function computes index directly. Array search must check elements one by one."
"SCENARIO: 'Two Sum' - array [2,7,11,15], target 9. Walk through hash map approach.","Start empty map. See 2, lookup 7 (not found), store {2:0}. See 7, lookup 2 (found at index 0!). Return [0,1]."
"SCENARIO: 'Group Anagrams' - how to create the key?","Sort each string → use as key. 'eat', 'tea', 'ate' all become 'aet'. Or use frequency tuple as key."
"SCENARIO: 'Longest Consecutive Sequence' - how does hash map help?","Store all numbers in set. For each number, check if it's sequence start (n-1 not in set). Then count consecutive."
"COSTUME: 'Subarray Sum Equals K' - where's the hash map?","Store {prefix_sum: count}. For current sum, lookup (sum - K) to find subarrays ending here that sum to K."
"COSTUME: '4Sum II' - four arrays, find quadruplets summing to 0. Pattern?","Hash Map. Store sums of A+B pairs. For each C+D pair, lookup -(C+D) in map. O(n²) instead of O(n⁴)."
"COSTUME: 'Contains Duplicate II' - duplicates within distance K. Pattern?","Hash Map or Set with sliding window. Track indices of recent K elements."
"ANTI-PATTERN: When should you NOT use hash map for pair finding?","When you need O(1) space and array is sorted → Two Pointers is better. When memory is critical."
"ANTI-PATTERN: 'Find element in sorted array' - use hash map?","No! Binary Search is O(log n) time with O(1) space. Hash map would be O(n) space waste."
"COMPARISON: Hash Map vs Two Pointers for Two Sum?","Hash Map: unsorted, O(n) time, O(n) space, easy index tracking. Two Pointers: needs sorted, O(n log n) if sorting, O(1) space."
"WHAT-TO-STORE: In Two Sum, what do you store?","Store {value: index}. Need index for the answer. Value is what you lookup."
"WHAT-TO-STORE: In frequency counting, what do you store?","Store {element: count}. Count how many times each element appears."
"WHAT-TO-STORE: In grouping problems, what do you store?","Store {computed_key: list of elements}. Key is computed property, value is group members."
"MENTAL MODEL: How to think about hash map pattern?","Building a dictionary as you go. For each element: first ASK the dictionary, then UPDATE the dictionary."
