Question,Answer
"What is the Maximum Depth of a Binary Tree?","The number of nodes along the longest path from the root down to the farthest leaf node."
"What is the recursive formula for Max Depth?","`depth = 1 + max(left_depth, right_depth)`."
"What is the Base Case for the recursion?","If `root` is `None`, return `0`."
"❌ MISTAKE: What happens if you return `1` for `None`?","You overcount the depth by 1 for every leaf path. Empty nodes contribute 0 height."
"Why is DFS (Recursion) a natural fit for this problem?","Because the depth of a node depends entirely on the depth of its children (Bottom-Up definition)."
"What is the Time Complexity of Max Depth?","O(N) - We must visit every node to determine the max depth."
"What is the Space Complexity of Max Depth?","O(H) - The recursion stack height. Worst case O(N) for skewed tree, O(log N) for balanced."
"How does the 'Bottom-Up' thinking work here?","We go to the leaves (base case 0), and pass values UP to the parent, adding 1 at each step."
"Can we solve this with BFS?","Yes. Level Order Traversal. The number of levels (iterations of the while loop) is the depth."
"Why might DFS be preferred over BFS here?","DFS is often more concise (3-4 lines of code) and elegant for recursive structures."
"What represents the '1' in `1 + max(...)`?","The current node itself. It adds 1 unit of height to the subtree."
"If a node has no children (Leaf), what does the formula return?","`1 + max(0, 0) = 1`."
"💡 AHA MOMENT: What is the 'Delegation Mindset'?","I don't need to measure the whole tree. I just ask my left child for its height, my right child for its height, pick the max, and add 1."
"What is the stack overflow risk?","In Python, recursion limit is usually 1000. A very deep skewed tree could crash a recursive DFS."
"How do we handle the recursion limit issue?","Use an iterative DFS (with a manual stack) or iterative BFS."
"What is the 'Recursive Leap of Faith'?","Trusting that `self.maxDepth(root.left)` will correctly return the depth of the left subtree without tracing every step."
"Is the root node included in the depth count?","Yes. The problem definition says 'number of nodes along the longest path', so root is count 1."
"What does `max(left, right)` do?","It chooses the deeper path. We only care about the *longest* path."
"If the left subtree has depth 3 and right has depth 5, what is the tree depth?","`1 + max(3, 5) = 6`."
"What pattern does this problem belong to?","DFS / Post-order Traversal (Process children first, then use results for current node)."
