Question,Answer
"SIGNAL: Find K largest elements in array. What pattern?","Top K Elements with Min-Heap of size K. Root = smallest of K largest. Compare new elements with root."
"SIGNAL: Find K closest points to origin. What pattern?","Top K Elements with Max-Heap of size K (by distance). K smallest distances = K closest points."
"SIGNAL: Find K most frequent elements. What pattern?","Top K Elements. First count frequencies (hash map), then apply Top K on frequencies."
"SIGNAL: Streaming data, maintain Kth largest element. What pattern?","Top K Elements. Min-heap of size K. New element > root? Add to heap. Kth largest = heap root."
"WHY: Why use MIN-heap for Top K LARGEST?","Min-heap root = smallest of the K largest. Easy to compare with new candidates. If new > root, swap."
"WHY: Why use MAX-heap for Top K SMALLEST?","Max-heap root = largest of the K smallest. If new < root, swap. Root is always the 'gatekeeper'."
"WHY: Why is Top K with heap O(n log K)?","Process n elements. Each heap operation is O(log K) since heap has at most K elements."
"SCENARIO: Find 3 largest in [4,1,7,2,9,5]. Walk through with min-heap.","Heap: [4]. [1,4]. [1,4,7]. See 2: 2>1? Yes, pop 1, add 2 → [2,4,7]. See 9: 9>2? Yes → [4,7,9]. See 5: 5>4? Yes → [5,7,9]. Top 3 = [5,7,9]."
"SCENARIO: 'K Closest Points' - [(1,3),(-2,2),(5,8)], K=1. Which is closest?","Distances: sqrt(10), sqrt(8), sqrt(89). Min distance = sqrt(8) at (-2,2). Use max-heap of distances, keep K smallest."
"SCENARIO: 'Top K Frequent' - [1,1,1,2,2,3], K=2. Most frequent?","Frequencies: {1:3, 2:2, 3:1}. Top K by frequency. Min-heap on frequencies, keep 2 largest → [1, 2]."
"COSTUME: 'Merge K Sorted Lists' - merge into one sorted list. Pattern?","Min-heap of size K. Always pop smallest (heap root), add to result, push next from that list."
"COSTUME: 'Sort Characters by Frequency' - arrange by frequency. Pattern?","Count frequencies. Use max-heap to extract in frequency order. Build result string."
"COSTUME: 'Reorganize String' - arrange so no adjacent duplicates. Pattern?","Count frequencies. Use max-heap to greedily place highest frequency char, skip just-placed."
"ANTI-PATTERN: Find median element - Top K?","NO! Use Two Heaps pattern. Top K is for K extreme elements, median needs balanced tracking."
"ANTI-PATTERN: K is close to N (like K = N-1) - Top K?","Probably just sort. Top K heap has overhead. When K ≈ N, sorting is simpler and similar complexity."
"COMPARISON: Top K Heap vs QuickSelect?","Heap: O(n log K) always, predictable. QuickSelect: O(n) average but O(n²) worst, returns unsorted."
"TECHNIQUE: Python only has min-heap. How to simulate max-heap?","Negate values: heappush(heap, -val). When popping: result = -heappop(heap). Min of negatives = max of originals."
"TECHNIQUE: When do you pop from the heap in Top K?","When len(heap) > K. After each push, check size. If > K, pop to maintain exactly K elements."
"EDGE: What if K >= array length?","Return all elements. No need for heap - everything is in 'top K'."
"MENTAL MODEL: How to visualize Top K?","VIP club with K spots. New arrival vs weakest VIP. If better, swap. Club always has best K."
