Question,Answer
"What pattern does 'Longest Substring with K Distinct Characters' use?","Sliding Window - Variable Size with Hash Map for frequency tracking."
"What does the hash map store in this problem?","Character frequencies: {character: count} for all characters in current window."
"What is the validity condition for this sliding window?","The window is VALID when len(freq_map) <= K (at most K distinct characters)."
"When do we shrink the window?","When len(freq_map) > K, meaning we have MORE than K distinct characters."
"What is the time complexity?","O(n) - Each character added/removed at most once."
"What is the space complexity?","O(K) - At most K+1 entries in the hash map at any time."
"How do we update freq_map when adding a character?","freq[char] = freq.get(char, 0) + 1"
"How do we update freq_map when removing a character?","freq[char] -= 1; if freq[char] == 0: del freq[char]"
"Why must we DELETE entries when count becomes 0?","So that len(freq_map) accurately reflects the number of DISTINCT characters in window."
"For input 'araaci' with K=2, what is the answer?","4 - 'araa' has 2 distinct chars (a, r). Or 'raaa' works too."
"For input 'cbbebi' with K=3, what is the answer?","5 - 'cbbeb' or 'bbebi' have 3 distinct characters."
"Write the shrink loop for this problem.","while len(freq) > k: left_char = s[left]; freq[left_char] -= 1; if freq[left_char] == 0: del freq[left_char]; left += 1"
"How is this different from 'No Repeating Characters'?","'No Repeating' is essentially K=len(charset) with each char appearing once. This allows repeats but limits distinct count."
"What's the trick for 'EXACTLY K distinct' problems?","exactly(K) = atMost(K) - atMost(K-1)"
"Why is deleting zero-count entries critical?","If we don't delete, len(freq) includes chars that are no longer in window, breaking our validity check."
