Question,Answer
"SIGNAL: Array with numbers from 1 to N, find missing number. What pattern?","Cyclic Sort. Each number i belongs at index i-1. After sorting, position with wrong number reveals missing."
"SIGNAL: Find all duplicates in array with numbers 1 to N. What pattern?","Cyclic Sort. After placing numbers correctly, positions where nums[i] ≠ i+1 have duplicates."
"SIGNAL: Find first missing positive integer. What pattern?","Cyclic Sort. Only sort numbers in range [1, N]. Ignore others. First position where nums[i] ≠ i+1 is answer."
"SIGNAL: O(1) space + numbers in bounded range + missing/duplicate. What pattern?","Cyclic Sort. Use indices as implicit hash. Number i should be at index i-1."
"WHY: Why is Cyclic Sort O(n)?","Each number swapped at most once to its correct position. Even with while loop, total swaps ≤ n."
"WHY: Why does number i go to index i-1?","For range [1, N], we have N numbers and N indices (0 to N-1). Number 1 maps to index 0, number N to index N-1."
"WHY: Why check nums[i] != nums[correct_idx] before swapping?","To avoid infinite loop when duplicate exists. If same value at both positions, swapping is pointless."
"SCENARIO: Array [3,1,4,2], sort cyclically.","Start: [3,1,4,2]. Swap 3↔4: [4,1,3,2]. Swap 4↔2: [2,1,3,4]. Swap 2↔1: [1,2,3,4]. Done!"
"SCENARIO: 'Find All Missing' - [4,3,2,7,8,2,3,1], N=8. Find missing.","After cyclic sort: [1,2,3,4,3,2,7,8]. Check: positions 5,6 wrong. Missing: 5,6."
"SCENARIO: 'First Missing Positive' - [3,4,-1,1]. What's answer?","Valid range [1,4]. Cyclic sort valid nums: [1,-1,3,4]. Position 1 has -1 ≠ 2. Answer: 2."
"COSTUME: 'Set Mismatch' - one number appears twice, one missing. Pattern?","Cyclic Sort. After sorting, position i with nums[i] ≠ i+1: i+1 is missing, nums[i] is duplicate."
"COSTUME: 'Find All Numbers Disappeared' - numbers 1-N, find all missing. Pattern?","Cyclic Sort. After sorting, all positions where nums[i] ≠ i+1 give missing numbers (i+1)."
"COSTUME: 'Missing Number' - array has 0 to N except one. Pattern?","Cyclic Sort variant. Or use math: expected_sum - actual_sum = missing. Or XOR approach."
"ANTI-PATTERN: Numbers not in bounded range (like negative or huge) - Cyclic Sort?","NO! Can't map to indices. Use hash set or other approach."
"ANTI-PATTERN: Need to preserve original array order - Cyclic Sort?","Cyclic Sort modifies array. Use hash set or marking approach that can be reversed."
"COMPARISON: Cyclic Sort vs Hash Set for missing/duplicate?","Cyclic Sort: O(1) space, modifies array. Hash Set: O(n) space, preserves array. Same O(n) time."
"TECHNIQUE: When do you NOT increment i in cyclic sort?","After a swap. The swapped-in element might also need to be moved. Only increment when current position is correct."
"TECHNIQUE: How to handle 0 in range [0, N]?","Number i goes to index i (not i-1). Or treat as special case. Adjust mapping accordingly."
"EDGE: What if array has number outside range [1, N]?","Skip it during sorting. It can't go to a valid position. Still scan after for mismatches."
"MENTAL MODEL: How to visualize Cyclic Sort?","Bookshelf: each book has designated slot. Place each book in correct slot. Empty slots = missing books. Wrong books = duplicates."
