Question,Answer
"SIGNAL: Sorted array + find pair with target sum. What pattern?","Two Pointers. Use left/right pointers from ends, move based on current sum vs target."
"SIGNAL: Need to remove duplicates from sorted array in-place. What pattern?","Two Pointers. Slow pointer tracks write position, fast pointer scans for unique elements."
"SIGNAL: Find triplet in array that sums to zero. What pattern?","Two Pointers. Sort first, fix one element, then use two pointers for remaining two."
"WHY: Why does Two Pointers work on sorted arrays?","Because sorted property lets us eliminate candidates: sum too small → move left right, sum too big → move right left. No need to check all pairs."
"WHY: Why do we sort the array first in 3Sum?","Sorting enables two pointers logic AND helps skip duplicates. Without sorting, we'd need O(n³) or complex hash map handling."
"WHY: Why can Two Pointers achieve O(n) for pair finding instead of O(n²)?","Each element is visited at most once by each pointer. Pointers only move inward, never backtrack. Total movements ≤ 2n."
"SCENARIO: Given sorted array [-3,-1,0,2,4] find pair summing to 1. Walk through.","Left=0 (-3), Right=4 (4). Sum=1. Found! Two pointers from ends converge based on sum comparison."
"SCENARIO: 'Container With Most Water' - array of heights, find max water. Pattern?","Two Pointers. Start from ends. Area = min(height) × width. Move the shorter line inward (keeping taller won't help)."
"SCENARIO: 'Squares of a Sorted Array' with negatives like [-4,-1,0,3,10]. Pattern?","Two Pointers. Compare absolute values from both ends, fill result array from the back."
"ANTI-PATTERN: When does Two Pointers NOT work for sum problems?","When array is unsorted AND order matters (can't sort). When you need ALL pairs, not just existence. When it's a subarray constraint problem."
"ANTI-PATTERN: 'Longest substring with K distinct characters' - Two Pointers?","NO! This is Sliding Window. Substring = contiguous + constraint. Two Pointers is for pairs in sorted arrays."
"ANTI-PATTERN: 'Find if linked list has cycle' - Two Pointers?","No, use Fast & Slow Pointers (different pattern). Two Pointers is for arrays, Fast/Slow is for linked list cycles."
"COMPARISON: Two Pointers vs Sliding Window - key difference?","Two Pointers: move based on COMPARISON logic (sum too big/small). Sliding Window: move based on CONSTRAINT satisfaction (valid/invalid window)."
"COMPARISON: Two Pointers vs Fast & Slow Pointers?","Two Pointers: array problems, both move conditionally. Fast & Slow: linked list, one moves 1x, other 2x."
"COSTUME: 'Move Zeroes to end while maintaining order' - what pattern is this?","Two Pointers (fast/slow variant). Fast finds non-zeros, slow tracks where to write. Same as remove duplicates logic."
"COSTUME: 'Sort Colors (Dutch National Flag)' - pattern?","Two Pointers (three pointer variant). Low/mid/high pointers partition into three sections."
"EDGE: What if two pointers meet without finding answer?","Answer doesn't exist. When left >= right (or left > right depending on problem), search space exhausted."
"EDGE: How to handle duplicates in 3Sum?","After finding valid triplet, skip duplicates: while(left < right && nums[left] == nums[left+1]) left++. Same for right."
"MISTAKE: Why is 'while left < right' vs 'while left <= right' important?","For pairs: use '<' (don't pair element with itself). For some problems like binary search variant: use '<=' to check single element."
"MENTAL MODEL: How to think about Two Pointers?","Smart elimination search. Start wide, narrow down. Sorted property guarantees you won't miss answer while skipping impossible candidates."
