Question,Answer
"What pattern does 'Fruits Into Baskets' use?","Sliding Window - Variable Size. It's equivalent to 'Longest Substring with K=2 Distinct'."
"How do you recognize 'Fruits Into Baskets' is a Sliding Window problem?","Looking for LONGEST contiguous subarray with at most 2 types of elements."
"What is K in this problem?","K = 2, because you have 2 baskets that can each hold one type of fruit."
"What does the hash map store?","Fruit type frequencies: {fruit_type: count} for fruits in current window."
"What is the validity condition?","len(freq_map) <= 2 (at most 2 distinct fruit types in the window)."
"When do we shrink the window?","When len(freq_map) > 2, meaning we picked more than 2 types of fruit."
"What is the time complexity?","O(n) - Single pass through the tree array."
"What is the space complexity?","O(1) - At most 3 entries in hash map at any time."
"For input [1,2,1], what is the answer?","3 - We can collect all fruits (types 1 and 2)."
"For input [0,1,2,2], what is the answer?","3 - [1,2,2] or starting from index 1."
"For input [1,2,3,2,2], what is the answer?","4 - [2,3,2,2] using fruit types 2 and 3."
"Why is this problem identical to Longest Substring K Distinct?","Same algorithm, just K is fixed at 2 and we use integers instead of characters."
"Write the core logic for adding a fruit.","basket[tree[right]] = basket.get(tree[right], 0) + 1"
"What real-world scenario does this model?","Walking through an orchard, picking fruits into limited baskets - want maximum fruits with limited basket types."
"What's the key insight for recognizing this pattern?","'At most X types' + 'longest/maximum' + 'contiguous' = Variable Sliding Window"
