Question,Answer
What is the main structural difference between a ViewSet and an APIView in DRF?,"ViewSets provide standard CRUD operations (list, create, etc.) and auto-routing. APIViews are for custom, non-resource endpoints requiring granular control."
"In a production Django project, why should you split settings?","To separate configuration for environments (Dev vs Prod), ensuring security (Debug=False in prod) and proper resource allocation (Local DB vs RDS)."
"What is the ""One app, one responsibility"" principle?","Each Django app should encapsulate a single domain (e.g., users, payments, orders) with its own models, serializers, views, and URLs for clean architecture."
What is the purpose of the apps/ folder in a Django project?,"To group all domain logic modules (users, payments, core) in one place, keeping the root folder clean for system configuration only. Makes it easier to potentially split into microservices later."
Why should you never use a single settings.py in production?,"Split into settings/base.py (shared), dev.py (Debug=True, local DB), prod.py (Debug=False, S3, Sentry) to avoid exposing secrets and ensure environment-specific configuration."
What phrase do interviewers like to hear about Django app structure?,"""Each app owns its own business logic."" This shows understanding of domain-driven architecture."
What is WSGI and why is it important?,"Web Server Gateway Interface - the bridge between Python code and web servers (Gunicorn, Nginx). Critical for deployment understanding. Rarely modified, but essential to know."
"What is the architect's ""production line"" flow in DRF?",Database (Models) → Máy chuyển đổi (Serializers) → Bộ điều khiển (Views/ViewSets) → Cổng giao tiếp (URLs)
What is the 4-step architect flow in DRF?,"1) Models First (database schema), 2) Serialization (validation + transformation), 3) Logic Layer (ViewSets or APIViews), 4) Routing (urls.py with routers)."
What mental model explains when to use ViewSets?,"""Convention over configuration"" - ViewSets follow REST conventions and auto-generate standard CRUD. APIViews give ""full control, full responsibility"" for custom logic."
What metaphors explain ViewSets vs APIViews?,"ViewSets = Automatic car 🚗 (just declare model, it auto-generates routes). APIViews = Manual car 🏎️ (you manually write each HTTP method handler)."
What 5 endpoints does ViewSet + DefaultRouter auto-generate?,"GET /resource/ (list), POST /resource/ (create), GET /resource/{id}/ (retrieve), PUT /resource/{id}/ (update), DELETE /resource/{id}/ (destroy)."
When should you use ViewSets over APIViews?,"For standard CRUD operations (80-90% of cases). Examples: Users, Products, Orders, Posts, Comments - any RESTful resource."
When should you use APIViews over ViewSets?,"For non-CRUD endpoints: custom analytics (/api/stats/), action endpoints (/api/trigger-report/), complex custom logic (/api/upload-file/), or logic that doesn't fit REST conventions."
"What's the ""golden example"" for ViewSets vs APIViews?","/api/users/ → ViewSet (CRUD resource), /api/stats/ → APIView (custom analytics, no model)."
What are the pros and cons of APIView?,"Pros: Very clear, full control. Cons: Verbose, repetitive code, no auto routing."
What are the pros of ViewSet with ModelViewSet?,"Less code, auto CRUD generation, auto URL routing via DefaultRouter, convention-based consistency."
How do you register a ViewSet with a router?,"router = DefaultRouter(); router.register(r""posts"", PostViewSet); urlpatterns = router.urls"
How do you register an APIView in urls.py?,"path(""posts/"", PostAPIView.as_view()) - you must manually write each URL pattern."
What is a SerializerMethodField used for?,To add a read-only field to the API response that is calculated dynamically and doesn't exist directly in the database model.
"What does ""Serializer = gatekeeper"" mean?","Serializers validate incoming data (POST/PUT), transform Python objects to JSON (responses), and control which fields are exposed to clients."
What pattern must you follow for SerializerMethodField?,"The method name must be `get_<field_name>`. Example: for `full_name` field, define `def get_full_name(self, obj)` to compute the value."
When would you use Custom Serializer instead of ModelSerializer?,"Use Custom Serializer for non-model-bound data: Login forms, OTP verification, Search input, Aggregation queries. Use ModelSerializer for standard CRUD operations."
What is the metaphor for ModelSerializer?,"""Máy photocopy"" (Photocopy machine) - it copies the exact structure from the database Model to JSON. Fast, clean, concise."
Give an example of SerializerMethodField for combining first_name and last_name.,"full_name = serializers.SerializerMethodField(); def get_full_name(self, obj): return f""{obj.first_name} {obj.last_name}"""
What are the 3 main types of serializers in DRF?,"1) ModelSerializer (CRUD, auto-maps model fields), 2) SerializerMethodField (computed/dynamic fields), 3) Custom Serializer (non-model-bound data like Login, OTP)."
Where should business logic validation be placed in serializers?,In `validate_<field>` for field-level validation or object-level `validate()` method.
Explain the difference between Authentication and Permissions in DRF.,"Authentication identifies *who* the user is (e.g., via Token). Permissions determine *what* that user is allowed to do (e.g., IsAdmin, IsOwner)."
What's the difference between JWT Access Token and Refresh Token?,"Access Token is short-lived (15 minutes) for API requests. Refresh Token is long-lived (7 days), stored securely, used to obtain new Access Tokens without re-login."
"Why is JWT called ""stateless""?","The server doesn't store anything. All user info (User ID, expiration time) is encoded directly into the token. Server just decodes it to verify identity."
What is the main advantage of JWT over Session-based auth?,"Scalability - no server-side session storage needed. With 1 million concurrent users, sessions would overload server memory. JWT is stateless."
When should you use Session-based authentication?,"For traditional server-rendered web apps (Django templates), Admin pages, or when you need server-side session control."
When should you use Token authentication?,"For internal APIs, scripts, bots, or simple API key-based access where you don't need JWT's sophistication."
What metaphor explains Access Token vs Refresh Token?,"Access Token = key to enter the house (short-lived, if stolen limited damage). Refresh Token = backup key in safe (used to get new access keys without re-login)."
Why is JWT ideal for SPAs and mobile apps?,"It's stateless, works well with React/Vue/Mobile, no need to share session state across servers in distributed systems."
"How do you implement object-level permission (e.g., only owner can edit)?",Create a custom permission class inheriting from BasePermission and override the `has_object_permission` method to check `obj.owner == request.user`.
What are the two main built-in permissions in DRF?,IsAuthenticated (must be logged in) and IsAdminUser (must be Staff/Superuser).
What is the difference between Auth and Permission?,"Auth = ""who you are"" (identity). Permission = ""what you can do"" (access control)."
What is permissions.SAFE_METHODS in DRF?,"A tuple containing ('GET', 'HEAD', 'OPTIONS') - read-only methods that are typically allowed for all users."
How do you apply a permission class to a view?,Add permission_classes = [IsAuthenticated] or permission_classes = [IsOwnerOrReadOnly] to the view.
Why should permission logic be decoupled from view logic?,For reusability - the same permission class can be used across multiple views by adding it to permission_classes list. Keeps views clean and focused on data handling.
"What makes custom permissions ""critical for interviews""?","They demonstrate deep understanding of DRF's permission system and object-level security, showing you can implement business rules like ""only owner can edit""."
Why choose Django over Flask/FastAPI for a typical CRUD startup app?,"""Batteries Included"": Django provides ORM, Admin, Auth, and Security out of the box, speeding up development vs. wiring manual tools in Flask."
What's the metaphor for Django vs Flask/FastAPI?,"Flask/FastAPI = Building from bricks (manual setup). Django = Fully furnished apartment (ORM, Security, Admin pre-built, move in and start coding)."
What are the 3 key reasons to choose Django?,"1) Development Speed (batteries included), 2) Security (built-in protection against SQL Injection, XSS, CSRF), 3) Team consistency (opinionated structure prevents chaos)."
When is Flask/FastAPI a better choice than Django?,"For microservices, lightweight APIs, minimal footprint requirements, or when you need total control over component choices."
What security features does Django provide out of the box?,"Built-in protection against SQL Injection, XSS (Cross-Site Scripting), and CSRF (Cross-Site Request Forgery) attacks."
"What 3 keywords should you emphasize when answering ""Why Django""?",Opinionated – Scalable – Maintainable
"Complete the metaphor: ""Flask/FastAPI is like buying bricks to build a house. Django is like...""","""...buying a fully furnished apartment - Kitchen (ORM), Security locks (CSRF/XSS protection), Building management (Admin panel) already included."""
"What does ""Batteries Included"" mean for Django?","Django comes with built-in ORM, Admin interface, Authentication, Security, URL routing - no need to manually wire up separate libraries like in Flask."
What is the key phrase for Django project structure?,"""One app, one responsibility"" - each app encapsulates its own domain with models, serializers, views, URLs."
