Question,Answer
"What is the goal of 'K Closest Points to Origin'?","Find the K points with the smallest Euclidean distances to (0,0)."
"Why use a Max-Heap (simulated) for 'K Closest' (Smallest)?","We want to KEEP the K smallest. To do that efficiently, we need to repeatedly EVICT the Largest. Max-Heap gives quick access to the Largest."
"How do we simulate Max-Heap in Python for this problem?","Calculate distance squared, then negate it: `push(-distSq, point)`. The 'largest' distance becomes the 'smallest' negative number at the root."
"Why calculate Distance Squared instead of Distance?","`sqrt()` is expensive. Comparing squares `x^2 + y^2` preserves the same order and is computationally cheaper."
"What is the Time Complexity of K Closest Points using Heap?","O(N log K). N insertions, each taking O(log K) because heap size is capped at K."
"What is the Space Complexity of this approach?","O(K). We only store K points in the heap at any time."
"Algorithm: What happens if `len(heap) > k`?","Pop the root. Since it's a Min-Heap of negative numbers, popping the root removes the 'most negative' (aka Largest) distance."
"Why not use a standard Min-Heap of size N?","That would take O(N) to heapify + O(K log N) to pop K times. Or O(N log N) if pushing all. O(N log K) is better when K < N."
"What is the 'Counterintuitive Strategy' mentioned?","To keep the *smallest* items, we focus on identifying and removing the *largest* ones."
"If input is `points=[[1,3],[-2,2]], k=1`, what is in the heap?","Distances: `1^2+3^2=10`, `(-2)^2+2^2=8`. Negated: `-10`, `-8`. Heap pushes `-10`, then `-8`. Size > 1, pop `-10` (largest). Result `-8` (point `[-2,2]`)."
"What is the 'Negation Trick' mathematical proof?","If A > B, then -A < -B. The largest positive number becomes the smallest negative number. Min-Heap of negatives = Max-Heap of positives."
"Why is Heap (O(N log K)) faster than Sorting (O(N log N))?","If K=10 and N=1,000,000, `log K` is tiny (~3.3) while `log N` is larger (~20). The difference is significant (6x faster)."
"What is the limitation of Python's `heapq` module?","It only provides Min-Heap functionality. It lacks a built-in Max-Heap."
"How do we return the final result from the heap?","The heap contains `(-dist, point)` tuples. Extract the `point` from each tuple. No need to reverse negation unless distance is needed."
"What happens if K equals N?","The heap grows to size N. Complexity becomes O(N log N), same as sorting."
"What is the initialization phase of the algorithm?","Create an empty list `heap = []`."
"What is the loop logic for each point?","1. Calc `-distSq`. 2. `heappush`. 3. If size > K, `heappop`."
"Does `heappush` or `heappop` happen more often?","`heappush` happens N times. `heappop` happens N-K times (once capacity is reached)."
"Can we use QuickSelect for this problem?","Yes. QuickSelect is O(N) average case, but O(N^2) worst case. Heap is guaranteed O(N log K)."
"Why is space complexity O(K) and not O(N)?","We actively maintain the heap size to never exceed K. We discard elements immediately."
"What if there are ties in distance?","The heap will use the `point` coordinates as tie-breakers (e.g., `[x,y]`). This is deterministic."
"Visual Design: What is the 'Ghibli-Inspired' aesthetic?","Soft pastels, gradients, and floating animations to make the algorithm feel 'dreamy' rather than dry."
