Question,Answer
"What is a Binary Tree?","A tree structure where each node has at most two children (Left and Right)."
"What is a Binary Search Tree (BST)?","A binary tree where Left < Node < Right for all nodes."
"What is the Time Complexity of Search in BST?","O(log N) average (balanced), O(N) worst case (skewed)."
"What is Pre-order Traversal?","Root -> Left -> Right. Useful for cloning trees."
"What is In-order Traversal?","Left -> Root -> Right. Returns sorted values for BST."
"What is Post-order Traversal?","Left -> Right -> Root. Useful for deleting trees or bottom-up calculations (height)."
"What is Level-order Traversal?","Breadth-First Search (Row by Row). Uses Queue."
"What is a Balanced Tree?","A tree where the height difference between left and right subtrees of any node is at most 1."
"What is a Complete Binary Tree?","All levels filled except possibly the last, which is filled from left to right."
"What is a Full Binary Tree?","Every node has either 0 or 2 children."
"What is the Height of a Tree?","Number of edges on the longest path from root to leaf."
"What is the Depth of a Node?","Number of edges from root to that node."
"How to find Lowest Common Ancestor (LCA) in BST?","If `p, q < root`, go Left. If `p, q > root`, go Right. Else, `root` is LCA."
"How to find LCA in regular Binary Tree?","Recursion. If root is p or q, return root. Look in left/right. If both return node, root is LCA."
"What is Trie (Prefix Tree)?","Tree for storing strings where nodes represent characters. Good for autocomplete."
"What is Heap (Priority Queue)?","Complete Binary Tree where parent is always < child (Min-Heap) or > child (Max-Heap)."
"How to serialize a Binary Tree?","Use Pre-order traversal with placeholders (e.g., '#') for nulls."
"How to invert a Binary Tree?","Swap left and right children, then recurse on both."
"What is Diameter of a Tree?","Length of the longest path between any two nodes. (May or may not pass through root)."
"How to check if Tree is Symmetric?","Recursive helper `isMirror(t1, t2)`. Check `val` equal, then `t1.left==t2.right` and `t1.right==t2.left`."
"What is Morris Traversal?","Threaded Binary Tree traversal. O(1) space (no stack/recursion). Modifies tree temporarily."
"Max number of nodes at level L?","2^L (root is level 0)."
"Max nodes in tree of height H?","2^(H+1) - 1."
"How to validate a BST?","Recursion with range `(min, max)`. Left must be in `(min, node.val)`, Right in `(node.val, max)`."
"Successor in BST?","Smallest node in Right Subtree (leftmost child of right child)."
"Predecessor in BST?","Largest node in Left Subtree (rightmost child of left child)."
"Path Sum problem strategy?","DFS. Subtract node value from target. If leaf and target==0, True."
"Construct Tree from Preorder and Inorder?","Preorder gives Root (first element). Inorder splits Left/Right subtrees."
"Why is Inorder Traversal important?","It processes BST nodes in non-decreasing order."
"What is a Leaf Node?","A node with no children (left and right are null)."
"How to do Iterative Pre-order Traversal?","Use a stack. Push root → Pop and visit → Push right child first, then left child."
"How to do Iterative In-order Traversal?","Use stack + current pointer. Go left until null (push all), pop & visit, then go right."
"How to do Iterative Post-order Traversal?","Use two stacks. Stack1 does reverse pre-order → Stack2 reverses it back to post-order."
"Why push RIGHT child before LEFT in iterative pre-order?","Because stack is LIFO. Pushing right first means left gets popped (processed) first."
"BFS Level-by-Level Separation - How?","Snapshot `len(queue)` before processing each level. Loop that many times for current level."
"What data structure does BFS use?","Queue (FIFO). Ensures nodes are visited level by level."
"When to use BFS vs DFS?","BFS: Level-order, shortest path, right-side view. DFS: Deep exploration, paths, subtree problems."
"How to build tree from array [1,2,3,4,5,6,7]?","Use recursion: root at index i, left child at 2*i+1, right child at 2*i+2."
"Max Path Sum with NEGATIVE nodes - Key Insight?","Use max(child_sum, 0) to IGNORE negative subtrees. Only include if they add value."
"What are the TWO jobs of each node in Max Path Sum?","Job 1: Check if current node is peak (left + node + right). Job 2: Report best single path upward."
"Recursion Base Case for Trees?","if not node: return (usually 0, None, True, or [])"
"When does recursion return TWO values?","When you need both height AND balance, or sum AND count, etc."
"How to count total nodes in tree?","def count(node): return 0 if not node else 1 + count(node.left) + count(node.right)"
"How to find height of tree?","def height(node): return 0 if not node else 1 + max(height(node.left), height(node.right))"
"How to check if tree contains value (BST)?","Start at root. If target < node.val go left, if target > node.val go right. O(log n) average."
"BST Get Minimum Value?","Keep going left until node.left is None. Return node.val."
"BST Get Maximum Value?","Keep going right until node.right is None. Return node.val."
"How to delete node in BST?","3 cases: (1) No children → return None. (2) One child → return that child. (3) Two children → replace with inorder successor."
"What is Inorder Successor in BST?","Smallest node in RIGHT subtree (leftmost child of right child)."
"Time complexity of tree traversal?","O(n) - visit every node once."
"Space complexity of recursive tree traversal?","O(h) where h is height. Balanced tree: O(log n). Skewed tree: O(n)."
"Why does recursion work perfectly for trees?","Because every subtree is a SMALLER VERSION of the same tree. Divide and conquer naturally."
"What does 'nodes can be negative' warning mean?","In path sum problems, negative nodes can DECREASE total. Must decide whether to include them (use max(sum, 0))."
"Tree Edge Cases to Test?","Empty tree, single node, two nodes, very skewed tree (like linked list), all same values."
"When interviewer asks for ITERATIVE traversal?","They're testing deeper understanding. You simulate recursion manually using a stack."
"What is the 'split point' in BST LCA?","The first node where p and q diverge into DIFFERENT subtrees (one goes left, one goes right)."
"Why is In-order traversal important for BST?","It visits nodes in SORTED order. Used for validation and converting BST to sorted array."
