Question,Answer
"What is the Merge Intervals problem?","Given a collection of intervals, merge all overlapping intervals and return non-overlapping intervals."
"What is the FIRST step in solving Merge Intervals?","SORT the intervals by start time. This ensures we process intervals in order and can detect overlaps easily."
"How do you sort intervals by start time in Python?","intervals.sort(key=lambda x: x[0]) or intervals.sort() (default sorts by first element)"
"What is the overlap condition for two intervals?","current[0] <= last_merged[1]. If current's START is before or at last's END, they overlap."
"When two intervals overlap, how do we merge them?","Extend the last interval's end: last_merged[1] = max(last_merged[1], current[1])"
"Why use MAX when merging ends?","Current might end BEFORE last_merged (fully contained). Example: [1,6] and [2,4] merge to [1,6], not [1,4]."
"When intervals DON'T overlap, what do we do?","Append current interval to merged list as a new separate interval."
"For [[1,3],[2,6],[8,10],[15,18]], what's the result?","[[1,6],[8,10],[15,18]]. [1,3] and [2,6] merge (2<=3), others don't overlap."
"Why do we initialize merged with the first interval?","We need a starting point to compare against. First interval becomes our initial merged result."
"Write the core algorithm steps.","1) Sort by start 2) Init merged = [first] 3) For each remaining: if overlap → extend end, else → append new"
"What is the overlap check in code?","if current[0] <= merged[-1][1]: overlap! else: no overlap"
"Write the complete Merge Intervals code.","def merge(intervals): intervals.sort(key=lambda x: x[0]); merged = [intervals[0]]; for current in intervals[1:]: if current[0] <= merged[-1][1]: merged[-1][1] = max(merged[-1][1], current[1]); else: merged.append(current); return merged"
"What is the time complexity?","O(n log n) - dominated by the sorting step. Merging is O(n)."
"What is the space complexity?","O(n) - worst case, no intervals merge, we store all n intervals."
"What edge case should you handle?","Empty input or single interval - return as-is. Also, intervals that are fully contained in another."
"For [[1,4],[2,3]], what happens?","[2,3] is fully contained in [1,4]. Merge to [1,4]. The max(4,3)=4 handles this correctly."
"For [[1,4],[4,5]], do they overlap?","YES! 4 <= 4 is true. They share the boundary point. Merge to [1,5]."
"Why is sorting essential for this algorithm?","Without sorting, we'd need O(n²) to compare every pair. Sorting lets us process linearly - only compare with previous merged."
"What's the 'greedy' aspect of this algorithm?","We greedily extend the current merged interval as far as possible before starting a new one."
"💡 AHA: What's the mental model?","Walk through sorted intervals. Either EXTEND current block (overlap) or START new block (gap). Like laying train tracks!"
