Question,Answer
"SIGNAL: Check if parentheses/brackets are balanced. What pattern?","Stack. Push opening brackets, pop when closing matches. If mismatch or stack not empty at end, invalid."
"SIGNAL: For each element, find the next greater element. What pattern?","Monotonic Stack (decreasing). Maintain stack of elements waiting for their next greater. Pop when found."
"SIGNAL: For each element, find the previous smaller element. What pattern?","Monotonic Stack (increasing). Stack maintains increasing order. When new element comes, smaller elements already in stack."
"SIGNAL: Evaluate mathematical expression with operators. What pattern?","Stack. One stack for operands, one for operators. Process based on operator precedence."
"WHY: Why use stack for parentheses matching?","LIFO property: most recent opening bracket must be closed first. Stack naturally tracks this nesting."
"WHY: Why is Monotonic Stack O(n) even with nested loops?","Each element is pushed once and popped once. Total operations across all iterations = 2n. Amortized O(n)."
"WHY: Why store INDICES in monotonic stack, not values?","Often need to calculate distances (like 'days until warmer'). Indices let you compute: current_index - popped_index."
"SCENARIO: 'Daily Temperatures' - days until warmer temperature. Pattern?","Monotonic decreasing stack. Stack stores indices of unresolved days. When warmer day found, pop and compute distance."
"SCENARIO: 'Valid Parentheses' - '([{}])'. Walk through.","Push '(', '[', '{'. See '}' → pop '{' (match!). See ']' → pop '[' (match!). See ')' → pop '(' (match!). Empty = valid."
"SCENARIO: 'Largest Rectangle in Histogram' - max rectangle area. Pattern?","Monotonic stack. For each bar, find nearest smaller on left AND right. Area = height × width between bounds."
"COSTUME: 'Stock Span' - how many consecutive days price was ≤ today. Pattern?","Monotonic decreasing stack. Same as 'previous greater element'. Span = days since previous higher price."
"COSTUME: 'Remove K Digits' - remove K digits to get smallest number. Pattern?","Stack with greedy. Maintain increasing stack. Pop larger digits when smaller digit can replace. Remove K total."
"COSTUME: 'Next Greater Element II' - circular array version. Pattern?","Monotonic stack with two passes. Iterate array twice to handle wrap-around."
"ANTI-PATTERN: Need FIFO (first-in-first-out) processing - Stack?","NO! Use Queue. Stack is LIFO. Queue is FIFO."
"ANTI-PATTERN: BFS traversal - Stack?","NO! BFS uses Queue for level-order. Stack would give DFS behavior."
"COMPARISON: Monotonic Increasing vs Decreasing Stack?","Increasing: for Next/Previous SMALLER. Decreasing: for Next/Previous GREATER. Think: what are you looking for?"
"TECHNIQUE: How to handle 'no next greater exists'?","Initialize result array with -1 (or 0, or n). Elements left in stack at end have no next greater."
"TECHNIQUE: When to iterate left-to-right vs right-to-left?","Left-to-right: find NEXT greater/smaller. Right-to-left: find PREVIOUS greater/smaller. Or adjust stack logic."
"EDGE: What if multiple elements have same value?","Depends on problem. Usually treat as 'not greater/smaller'. May need <= vs < in comparisons."
"MENTAL MODEL: How to visualize Monotonic Stack?","Bouncer at club: new person arrives, kick out everyone shorter (or taller). Remaining always in sorted order."
