Question,Answer
"What is a rate limiter?","A component that controls the rate of traffic sent by a client or service, limiting the number of requests allowed over a specified period. Excess calls are blocked."
"What are the 3 benefits of rate limiting?","1) Prevent DoS attacks, 2) Reduce cost (especially for paid third-party APIs), 3) Prevent server overload from bots or misbehaving users."
"Why is client-side rate limiting unreliable?","Client requests can easily be forged by malicious actors, and we might not have control over the client implementation."
"What are the 3 options for placing a rate limiter?","1) Client-side (unreliable), 2) Server-side (inside API server), 3) Middleware (between client and API servers — most common)."
"What is an API Gateway in the context of rate limiting?","A fully managed service that supports rate limiting, SSL termination, authentication, IP whitelisting, and serving static content. Common in cloud microservices."
"Name the 5 rate limiting algorithms.","1) Token Bucket, 2) Leaking Bucket, 3) Fixed Window Counter, 4) Sliding Window Log, 5) Sliding Window Counter."
"How does the Token Bucket algorithm work?","Tokens are added at a fixed refill rate up to bucket capacity. Each request consumes 1 token. If tokens available → request passes. If empty → request dropped."
"What are the 2 parameters of Token Bucket?","1) Bucket size (max tokens), 2) Refill rate (tokens added per second)."
"What companies use Token Bucket?","Amazon and Stripe use token bucket to throttle their API requests."
"What is the key advantage of Token Bucket?","It allows bursts of traffic for short periods — requests can go through as long as tokens are available."
"What is the con of Token Bucket?","Two parameters (bucket size and refill rate) might be challenging to tune properly."
"How does the Leaking Bucket algorithm work?","Uses a FIFO queue. Requests are added to the queue if not full, otherwise dropped. Requests are processed at a fixed outflow rate."
"What are the 2 parameters of Leaking Bucket?","1) Bucket size (queue size), 2) Outflow rate (requests processed per second)."
"Key advantage of Leaking Bucket?","Requests are processed at a stable, fixed rate — suitable when a constant outflow rate is needed."
"Key disadvantage of Leaking Bucket?","A burst fills the queue with old requests; newer requests get rate limited even though old ones may be stale."
"How does the Fixed Window Counter work?","Divides timeline into fixed-size windows with a counter each. Every request increments the counter. Once threshold reached, requests are dropped until next window."
"What is the edge burst problem in Fixed Window Counter?","At window boundaries, you can get double the allowed rate. Example: 5 req/min limit — 5 requests at 2:59 and 5 at 3:01 = 10 requests in 2 seconds."
"How does the Sliding Window Log algorithm work?","Tracks request timestamps in a sorted set (Redis). On new request: remove outdated timestamps, add new one, check if log size ≤ limit."
"What is the main pro of Sliding Window Log?","Very accurate — in any rolling window, requests will not exceed the rate limit. No boundary burst problem."
"What is the main con of Sliding Window Log?","Consumes a lot of memory because even rejected requests may have their timestamps stored."
"How does the Sliding Window Counter work?","Hybrid approach: weighted formula = (previous_window_count × overlap%) + (current_window_count × position%). Smooths out traffic spikes."
"What is the Sliding Window Counter formula example?","With prev=5, curr=3, 70% into current window: 5 × 30% + 3 × 70% = 1.5 + 2.1 = 3.6"
"How accurate is Sliding Window Counter?","Cloudflare experiments show only 0.003% of requests are wrongly allowed or rate limited among 400 million requests."
"Why use Redis for rate limiting?","Fast in-memory cache with time-based expiration. Database is too slow (disk access). Redis supports atomic INCR and EXPIRE commands."
"What are the 2 key Redis commands for rate limiting?","INCR (atomically increase counter by 1) and EXPIRE (set timeout for counter auto-deletion)."
"What HTTP status code is returned when rate limited?","HTTP 429 — Too Many Requests."
"Name the 3 rate limiter response headers.","X-Ratelimit-Remaining (remaining allowed requests), X-Ratelimit-Limit (calls allowed per window), X-Ratelimit-Retry-After (seconds to wait)."
"What is the race condition problem in distributed rate limiting?","Two threads read the same counter value simultaneously, both increment and write back. Expected: counter + 2. Actual: counter + 1."
"What are 3 solutions to the race condition problem?","1) Locks (simple but slow), 2) Lua scripts (atomic execution in Redis — preferred), 3) Redis sorted sets (atomic operations)."
"What is the synchronization problem with multiple rate limiters?","Multiple rate limiter servers each maintain their own counter. A client's requests going to different servers bypass the rate limit."
"How do you solve the synchronization problem?","Use a centralized Redis data store. All rate limiter servers read/write to the same Redis instance for a consistent view."
"What is hard vs soft rate limiting?","Hard: requests cannot exceed the threshold (strict). Soft: requests can exceed the threshold for a short period (flexible)."
"At which OSI layers can rate limiting be applied?","Layer 7 (Application) — HTTP-based rate limiting. Layer 3 (Network) — IP-based rate limiting using iptables."
"What are client best practices to avoid being rate limited?","1) Use client cache, 2) Don't send too many requests quickly, 3) Catch exceptions for graceful recovery, 4) Add back-off time to retry logic."
"In the detailed design, where are rate limiting rules stored?","Rules are stored on disk. Workers frequently pull rules and store them in an in-memory cache for fast access by the middleware."
"Which algorithm is best for handling flash sale traffic?","Token Bucket — because it supports bursts of traffic when tokens are accumulated."
