Question,Answer
"What is the goal of '01 Matrix'?","Find the distance of the nearest 0 for each cell."
"What pattern solves 'Nearest distance to X' on a grid?","Multi-Source BFS (Breadth-First Search)."
"Why not DFS for this problem?","DFS finds *a* path, not necessarily the *shortest* path. BFS explores layer by layer, guaranteeing shortest distance."
"Why 'Multi-Source' BFS?","Instead of starting from one node, we start BFS from ALL '0' cells simultaneously."
"What is the initialization step?","1. Create a Queue. 2. Enqueue all cells with '0'. 3. Mark cells with '1' as 'Infinity' (or -1/unvisited)."
"Why initialize '1's to Infinity?","To distinguish visited vs unvisited cells. If a cell has `dist > current + 1`, we update it."
"What is the BFS level structure here?","Level 0: All '0' cells. Level 1: Cells adjacent to '0'. Level 2: Cells adjacent to Level 1."
"What is the Time Complexity?","O(M * N). Each cell is pushed and popped at most once."
"What is the Space Complexity?","O(M * N) for the queue."
"Do we need a `visited` set?","Not necessarily. We can use the matrix itself. If `matrix[r][c] == Infinity`, it's unvisited."
"How do we update the distance?","`matrix[new_r][new_c] = matrix[r][c] + 1`."
"What are the 4 directions array?","`dirs = [(0,1), (0,-1), (1,0), (-1,0)]`."
"❌ MISTAKE: Starting BFS from '1's?","Inefficient! Searching *for* a 0 from each 1 repeats work. Searching *from* all 0s outward is O(M*N)."
"What if there are no 0s?","Problem constraints usually say at least one 0. Otherwise, impossible."
"What logic handles boundaries?","`if 0 <= nr < rows and 0 <= nc < cols`."
"Why is BFS from 0s like 'Water Spreading'?","Imagine 0s are water sources. Water spreads to neighbors in 1 second, then their neighbors... The time taken is the distance."
"Can we use Dynamic Programming?","Yes. Two passes: Top-Left to Bottom-Right, then Bottom-Right to Top-Left. But BFS is more intuitive for 'shortest path'."
"What happens if we revisit a node?","We skip it. BFS guarantees the first time we reach a node, it's via the shortest path."
"How to check unvisited without extra space?","Set unvisited '1's to a placeholder (e.g., -1 or infinity) during initialization."
"💡 AHA MOMENT: The 'Reverse' thinking","Don't look for 0 from 1. Let the 0s expand to find the 1s."
