Question,Answer
"What is Cyclic Sort?","An in-place sorting algorithm where each number KNOWS its correct position. Not comparison-based - it's a MAPPING algorithm."
"What are the TWO conditions required for Cyclic Sort?","1) Integers only 2) Contiguous range (1→N or 0→N). Cannot use for random ranges or floats."
"Why is Cyclic Sort O(N) while QuickSort is O(N log N)?","Cyclic Sort KNOWS where each number belongs (value → index mapping). QuickSort must compare to find positions."
"🏠 METAPHOR: What is the 'House and Residents' analogy?","Array = row of houses with addresses [0,1,2...]. Numbers = residents. Each resident knows their home address. Just send everyone home!"
"For range 1→N, what is the formula for correct index?","correct_index = nums[i] - 1. Number 1 → house 0, Number 5 → house 4."
"For range 0→N, what is the formula for correct index?","correct_index = nums[i]. Number 0 → house 0, Number 3 → house 3."
"Why do we use 'while' instead of 'for' in Cyclic Sort?","After a swap, we must CHECK THE NEW RESIDENT at current position. 'while' lets us stay and re-evaluate before moving on."
"What is the swap condition in Cyclic Sort?","if nums[i] != nums[correct_idx]: swap. This checks if current resident is NOT in their correct home."
"Why DON'T we increment i after a swap?","The swapped-in element might also be in the wrong place! Must check it before moving to next index."
"When DO we increment i?","Only when nums[i] == nums[correct_idx], meaning current position has correct resident. Then move to next house."
"Why is Cyclic Sort called 'Cyclic'?","Swaps often form CYCLES: 3 kicks out 2 → 2 kicks out 1 → 1 takes 3's spot. Forms a circular chain."
"Trace [3,1,5,4,2] step by step with Cyclic Sort.","i=0: 3→idx2, swap→[5,1,3,4,2]; 5→idx4, swap→[2,1,3,4,5]; 2→idx1, swap→[1,2,3,4,5]; 1→idx0, CORRECT! i++. Done!"
"What is the time complexity of Cyclic Sort?","O(N) - each element is swapped at most ONCE to its correct position."
"What is the space complexity of Cyclic Sort?","O(1) - in-place sorting, only uses a few variables."
"🎯 PATTERN RECOGNITION: What keywords signal Cyclic Sort?","'range 1 to n', 'find missing number', 'find duplicate', 'O(N) time O(1) space', 'smallest missing positive'"
"List 4 classic Cyclic Sort problems.","1) Missing Number (#268) 2) Find All Duplicates (#442) 3) Find All Missing Numbers (#448) 4) First Missing Positive (#41)"
"What's the difference between Cyclic Sort and regular sorting?","Cyclic Sort: O(N) time, O(1) space, ONLY for contiguous integer ranges. Regular Sort: O(N log N), works for any data."
"Write the Cyclic Sort template code.","i = 0; while i < len(nums): correct = nums[i] - 1; if nums[i] != nums[correct]: swap(nums[i], nums[correct]); else: i += 1"
"Why doesn't Cyclic Sort work for [100, 20, 5, 1]?","Range is not contiguous! 100 would need index 99, but array only has 4 elements. Cyclic Sort requires 1→N or 0→N."
"💡 AHA: What's the core insight of Cyclic Sort?","'Each number already knows its home address' - no comparison needed, just send everyone to their designated position!"
