Question,Answer
"What is the 'Right Side View' of a binary tree?","The set of nodes visible when looking from the right. Equivalently, the **last node** in each level."
"❌ MISTAKE: Does 'Right Side View' always mean the 'Right Child'?","No! If the right child is missing, the 'Right Side View' is the Left Child (or whichever node is rightmost in that level)."
"What BFS template modification is needed for Right Side View?","Inside the inner `for` loop, check if the current index is the last one: `if i == level_size - 1`."
"❌ MISTAKE: What was the 'Off-by-One' error in the loop condition?","Checking `if i == level_size`. Since range is 0-indexed, the last index is `level_size - 1`."
"Why is BFS better than DFS for Right Side View?","BFS naturally groups levels. We just pick the last element of each group. DFS requires tracking max depth and overwriting values."
"What logic allows us to see the 'Left Child' from the right side?","The standard BFS order (Left -> Right). If Right is missing, the Left child is the last one added/processed for that level."
"What is the Time Complexity of Right Side View?","O(N) - We must visit all nodes to find the last one of each level."
"What is the Space Complexity of Right Side View?","O(N) - Queue size scales with the width of the tree (N/2 leaves)."
"Do we need to store the entire `current_level` list?","No. We only need the value where `i == level_size - 1`. We can discard the rest."
"❌ MISTAKE: Why was `level = []` considered 'dead code'?","Because we append directly to the final `result` list when we find the rightmost node. We don't need to build the level list."
"How would you modify this for 'Left Side View'?","Check `if i == 0` instead of `if i == level_size - 1`."
"What happens if the tree is skewed left (no right children)?","The Right Side View will be all the Left children (since they are the 'last' and only nodes in their levels)."
"In the loop `for i in range(level_size)`, what does `i` represent?","The 0-based index of the node within the current level (from left to right)."
"Why must we capture `level_size` before the loop?","To know exactly which node is the LAST one in the current level."
"Can we solve this by just traversing `root.right` recursively?","No. That would miss nodes where the right branch ends but the left branch continues deeper."
"What if the tree is empty?","Return `[]`. Handle this edge case first."
"What data structure is essential for this BFS approach?","A Queue (deque) to store nodes in FIFO order."
"If we used DFS, how would we ensure we see the right side?","Traverse Right then Left (`Root -> Right -> Left`). Add to result only if `depth` is a new maximum."
"Why is the BFS solution often more intuitive here?","Because 'View' implies geometric levels, which maps directly to Level Order Traversal."
"💡 AHA MOMENT: What defines the 'visible' node?","It is simply the node processed when the loop index `i` reaches `level_size - 1`."
