Question,Answer
"SIGNAL: Given list of intervals, merge all overlapping ones. What pattern?","Merge Intervals. Sort by start time, then linear pass merging overlaps."
"SIGNAL: Check if person can attend all meetings (no overlaps). What pattern?","Merge Intervals (Meeting Rooms I). Sort by start, check if any interval starts before previous ends."
"SIGNAL: Minimum number of meeting rooms needed. What pattern?","Merge Intervals (Meeting Rooms II / Line Sweep). Track concurrent meetings using start/end events."
"SIGNAL: Insert new interval into sorted non-overlapping list. What pattern?","Merge Intervals. Find position, merge with any overlapping neighbors."
"WHY: Why must we sort intervals by start time first?","Sorting ensures each interval only needs to check against the previous one. Without sorting, overlaps could be anywhere."
"WHY: Why is merge intervals O(n log n)?","Sorting is O(n log n). After sorting, single pass merge is O(n). Total dominated by sort."
"WHY: When merging two overlapping intervals, why use max(a.end, b.end)?","Because one interval might completely contain the other. Taking max ensures merged interval covers both entirely."
"SCENARIO: Merge [[1,3],[2,6],[8,10],[15,18]]. Walk through.","Sort (already sorted). [1,3]+[2,6]→[1,6] (overlap). [1,6]+[8,10]→no overlap, keep both. [8,10]+[15,18]→no overlap. Result: [[1,6],[8,10],[15,18]]."
"SCENARIO: 'Meeting Rooms II' - [[0,30],[5,10],[15,20]]. Min rooms?","At time 5: meeting 1 ongoing, meeting 2 starts → 2 rooms. At time 15: meeting 1 still ongoing, meeting 3 starts, meeting 2 ended → 2 rooms. Answer: 2."
"SCENARIO: Insert [4,8] into [[1,2],[3,5],[6,7],[8,10],[12,16]]. Pattern?","[1,2] before (no overlap). [3,5] overlaps → merge to [3,8]. [6,7] overlaps → [3,8]. [8,10] overlaps → [3,10]. [12,16] after. Result: [[1,2],[3,10],[12,16]]."
"COSTUME: 'Non-overlapping Intervals' - min removals to eliminate all overlaps. Pattern?","Greedy Interval. Sort by end time. Keep interval that ends earliest. Count removals."
"COSTUME: 'Minimum Number of Arrows to Burst Balloons' - one arrow bursts all overlapping. Pattern?","Same as counting non-overlapping groups. Sort by end, greedy grouping. Arrow count = number of groups."
"COSTUME: 'Employee Free Time' - common free slots for all employees. Pattern?","Merge all intervals, then find gaps between merged intervals."
"ANTI-PATTERN: Range sum queries on array - Merge Intervals?","NO! Use Prefix Sum or Segment Tree. Merge Intervals is for interval operations, not array range queries."
"COMPARISON: Merge Intervals vs Line Sweep - when to use each?","Merge: output merged intervals. Line Sweep: count concurrent events, max overlap, etc."
"TECHNIQUE: What's the overlap condition for sorted intervals?","If intervals sorted by start: overlap if current.start <= previous.end. No overlap if current.start > previous.end."
"TECHNIQUE: How to handle 'touching' intervals like [1,2] and [2,3]?","Depends on problem. Usually considered overlapping (merge). Check if condition is < or <=."
"EDGE: What if intervals list is empty or has one interval?","Empty: return empty. One interval: return that interval (nothing to merge)."
"EDGE: What if one interval completely contains another?","Merged interval takes the larger range: min(starts), max(ends). The containing interval 'absorbs' the smaller one."
"MENTAL MODEL: How to visualize Merge Intervals?","Scheduling appointments: sort by start, for each new appointment check if it overlaps with previous, merge or start fresh."
