Question,Answer
"What does STAR(R) stand for?","Situation, Task, Action, Result, Reflection. The Reflection is the seniority signal."
"What is the Reflection (R) in STAR(R)?","A look back at what you learned, what principle you extracted, and how it shapes future decisions. This is what separates Senior from Junior answers."
"What are the time targets for STAR(R)?","S: 15 sec, T: 10 sec, A: 90 sec, R: 15 sec, Reflection: 30 sec. Total ~3 minutes."
"What is the most common mistake in STAR stories?","Saying 'We' instead of 'I' in the Action section, and spending too much time on Situation/Task."
"What are the 8 evaluation dimensions?","1. Motivation, 2. Proactivity, 3. Unstructured Environment, 4. Perseverance, 5. Conflict & Empathy, 6. Growth, 7. Communication, 8. Company Values."
"What separates Junior from Senior scope?","Junior: individual impact. Senior: team-wide/multi-person impact. Staff: org-wide/cross-team impact."
"How many positive signals needed for a hire?","Nearly all 8 dimensions for Junior. All 8 plus demonstrated seniority-appropriate scope for Senior/Staff."
"Story: Jarvis-Bot — What was the Situation?","Team of 20+ spent 3 hours/week manually creating timesheets from Slack messages."
"Story: Jarvis-Bot — What was the Result?","3 hours to 30 seconds. Saved 3,120 hours/year ($240k value). Key factor in salary increase."
"Story: Jarvis-Bot — What was the Reflection?","'Measure the invisible tax.' Teams accept painful manual work because no one quantifies the cost. Now I always measure true cost first."
"Story: JS-Injection — What was the Situation?","Testing fixes required deploying to CDN and waiting 15-30 mins just to verify small changes."
"Story: JS-Injection — What was the Result?","Dev cycle time dropped from 30 min to 30 seconds. Became team's daily tool."
"Story: JS-Injection — What was the Reflection?","'Best dev tools are born from frustration.' Developer productivity = shortening the feedback loop."
"Story: Second Brain — What was the Situation?","Keyword search failed for 1M+ Notion notes. Couldn't retrieve known answers (Information Silos)."
"Story: Second Brain — What was the Result?","Achieved 'Infinite Recall.' 10 senior colleagues asked for source code. Became go-to for AI implementation."
"Story: Second Brain — What was the Reflection?","'AI augments human memory.' Most impactful AI solves problems people accepted as normal. Eat your own dog food."
"Story: Conflict — What was the Situation?","Team Leader shouted personal insults in front of team/CTO under deadline pressure."
"Story: Conflict — What was the Action?","De-escalation in the moment. Raised issue in formal Performance Review. Set boundary: 'Stress is not an excuse for disrespect.'"
"Story: Conflict — What was the Reflection?","'Professional boundaries are infrastructure.' Timing of confrontation matters as much as content. Proactively establish communication norms."
"Story: Failure — What was the 'Dependency Trap'?","Relied on senior to set up dev environment without understanding how it worked. It broke before a deadline."
"Story: Failure — What was the Reflection?","'Never outsource understanding.' Convenience is the enemy of competence. Always ask 'Why?' not just 'How?'"
"What are the Big Three behavioral questions?","1. Tell me about yourself, 2. Your favorite/most impactful project, 3. A time you dealt with conflict."
"How long should the self-introduction be?","30 seconds max. Structure: Name+Role+Stack (5s), Top 2 Metrics (15s), What Excites You (10s)."
"What is the elevator pitch structure?","[Name + Role + Stack] → [Top 2 impressive metrics] → [What excites you + what you want]"
"What 3 questions should you always ask interviewers?","1. 'What's the most important problem I'd solve?' 2. 'How does the team balance features vs tech debt?' 3. 'What's unique about working here?'"
"What are the 5 categories of questions to ask?","1. Technical Work, 2. Role & Impact, 3. Culture & Team, 4. Growth & Leadership, 5. Company Direction."
"What should you NEVER ask interviewers?","'What does the company do?' (didn't research), 'How much vacation?' (save for HR), anything easily Googled."
"When should you do mock behavioral interviews?","Week 4: Big Three. Week 5: Full set. Week 6: Company-specific. Week 8: Stress test. Week 10: Full scored. Week 12: Warm-up."
"What is the mock interview scoring range?","30-35/35: Interview-ready. 25-29: Strong. 20-24: Good foundation. Below 20: Needs work."
"Which story covers Motivation best?","Story 3: Second Brain (AI-Native passion, intrinsic drive to solve own problems)."
"Which story covers Conflict best?","Story 4: The Conflict (de-escalation, formal channels, boundary setting)."
"Which story covers Growth best?","Story 5: Dependency Trap (failure to competence, now mentors others)."
