Question,Answer
"SIGNAL: Count connected components in grid (e.g., number of islands). What pattern?","DFS. For each unvisited cell, run DFS to mark entire component. Count = number of DFS calls."
"SIGNAL: Check if path exists from source to target. What pattern?","DFS. Explore paths one at a time. Return True when target found, backtrack if dead end."
"SIGNAL: Tree traversal (pre-order, in-order, post-order). What pattern?","DFS (recursive). Tree traversal IS DFS. Order determined by when you process current node."
"SIGNAL: Find all paths from A to B. What pattern?","DFS with backtracking. Explore each path, store when reaching target, backtrack to try alternatives."
"WHY: Why does DFS use recursion (or stack)?","To remember where to backtrack. Stack stores the path taken. When path ends, pop to return to last junction."
"WHY: Why is DFS space complexity O(h) for trees?","Only stores nodes on current path (height h). Unlike BFS which stores entire level (width w)."
"WHY: Why can't DFS guarantee shortest path?","DFS explores one path completely before others. It might find a longer path to target first."
"SCENARIO: 'Number of Islands' - grid with 1s (land) and 0s (water). Count islands. Pattern?","DFS. Loop through grid. When hit unvisited land, DFS to mark entire island, increment count."
"SCENARIO: 'Path Sum' - root-to-leaf path summing to target. Pattern?","DFS. Pass remaining sum down. At leaf, check if sum equals target. Return True if any path works."
"SCENARIO: 'Max Depth of Binary Tree' - deepest node level. Pattern?","DFS (post-order). Get depth of left, get depth of right, return 1 + max(left, right)."
"COSTUME: 'Clone Graph' - create deep copy of graph. Pattern?","DFS. Visit each node, create copy, store in map. Recursively clone neighbors."
"COSTUME: 'Flood Fill' - change connected region to new color. Pattern?","DFS from starting pixel. Visit all same-color neighbors, change color. Classic DFS on grid."
"COSTUME: 'Validate BST' - check if tree is valid binary search tree. Pattern?","DFS with range. Pass (min, max) bounds down. Each node must be within bounds."
"ANTI-PATTERN: Find SHORTEST path from A to B - DFS?","NO! Use BFS for shortest path. DFS may find a longer path first."
"ANTI-PATTERN: Level-order traversal of tree - DFS?","Not naturally. BFS with queue is more intuitive for level-order. DFS can do it with level tracking but awkward."
"COMPARISON: DFS vs BFS - when to choose DFS?","DFS for: existence check, all paths, connectivity, tree recursion, less memory. BFS for: shortest path, nearest, level-order."
"TRAVERSAL: Pre-order vs In-order vs Post-order - when to use each?","Pre: process node first (clone, serialize). In: sorted order for BST. Post: process node last (delete, height calc)."
"TECHNIQUE: How to track visited in DFS?","Option 1: visited set. Option 2: modify grid in-place (mark cell as visited). Option 3: pass visited as parameter."
"EDGE: What if graph has cycles in DFS?","Without visited tracking, infinite recursion. Always mark visited BEFORE recursing on neighbors."
"MENTAL MODEL: How to visualize DFS?","Exploring a maze: pick one path, follow to dead end, backtrack to junction, try next path. Stack = breadcrumb trail."
