Question,Answer
"What pattern does 'Longest Substring Without Repeating Characters' use?","Sliding Window - Variable Size. Window expands/contracts based on character uniqueness."
"What data structure tracks characters in the window for this problem?","Hash Set or Hash Map. Set for presence check, Map for storing last index of each character."
"What is the validity condition for this sliding window?","The window is VALID when there are no duplicate characters (all characters appear at most once)."
"What is the time complexity of Longest Substring Without Repeating?","O(n) - Each character is visited at most twice (once by right, once by left)."
"What is the space complexity of Longest Substring Without Repeating?","O(min(n, m)) where m is the character set size (26 for lowercase, 128 for ASCII)."
"When do we shrink the window in this problem?","When we find a duplicate character - we shrink from the left until the duplicate is removed."
"How do we detect a duplicate character entered the window?","Check if the new character already exists in our set/map before adding it."
"What's the formula for calculating current window length?","right - left + 1"
"For input 'abcabcbb', what is the longest substring without repeating?","3 - 'abc' is the longest substring without repeating characters."
"For input 'bbbbb', what is the answer?","1 - The longest substring is any single 'b'."
"Why use a Hash Map instead of Set for optimization?","Map stores last index of each char, allowing us to jump left pointer directly instead of shrinking one by one."
"Write the shrink logic using a set.","while s[right] in char_set: char_set.remove(s[left]); left += 1"
"What's the optimized jump formula using a map?","left = max(left, char_map[s[right]] + 1) - jump past the previous occurrence."
"What makes this a 'LONGEST' window problem?","We want to maximize window size while maintaining validity, so we shrink only when INVALID."
"Why does Sliding Window work here but not for 'find all substrings'?","Sliding Window finds optimal (longest), not all possibilities. For 'all', you'd need O(n^2)."
