Question,Answer
"What does '0/1' mean in 0/1 Knapsack?","Binary choice: Each item can only be TAKEN ONCE or NOT AT ALL. 0 = don't take, 1 = take. Unlike fractional knapsack where you can take 'half a laptop'."
"What makes 0/1 Knapsack different from Unbounded Knapsack?","0/1: Each item used AT MOST ONCE. Unbounded: Items can be used UNLIMITED times. This affects DP transition - unbounded looks at dp[i][w-wt] (same row), 0/1 looks at dp[i-1][w-wt] (previous row)."
"What are the dimensions of the DP table for 0/1 Knapsack?","(n+1) × (W+1). n = number of items, W = knapsack capacity. The +1 in both dimensions is for the 'nothing' base case (0 items, 0 capacity)."
"Why do we need row 0 and column 0 in the Knapsack DP table?","Base cases: Row 0 = '0 items considered' → value is always 0. Column 0 = '0 capacity' → value is always 0. These serve as foundations for building up solutions."
"What does dp[i][w] represent in 0/1 Knapsack?","The MAXIMUM VALUE achievable when: considering the first i items, with a knapsack capacity of w. Final answer is at dp[n][W]."
"What is the recurrence formula for 0/1 Knapsack?","if wt[i-1] <= w: dp[i][w] = max(dp[i-1][w], val[i-1] + dp[i-1][w - wt[i-1]]). else: dp[i][w] = dp[i-1][w]. (Skip vs Take vs Can't take)"
"What is the 'i-1 trap' in Knapsack DP?","When loop is at i = 1 (first item), the item's data is at index 0. Must use wt[i-1] and val[i-1] to access array data! Loop i = 'considering first i items', Array index i-1 = actual item data."
"Why is it wrong to use range(len(val)) for the outer loop?","It only gives indices 0 to n-1, but we need 0 to n. Wrong: for i in range(len(val)) → misses the last row. Correct: for i in range(n + 1) → includes all n+1 rows."
"Why is it wrong to use len(max(wt)+1) for inner loop?","Two bugs: 1) max(wt) returns a number, len(number) throws TypeError. 2) max(wt) is heaviest item, not bag capacity! Correct: for w in range(W + 1)."
"How do you backtrack to find which items were selected?","Start at dp[n][W], go row by row upward: for i in range(n, 0, -1): if dp[i][currentW] != dp[i-1][currentW]: selected.append(i-1), currentW -= wt[i-1]. Different = taken, Same = skipped."
"What's the key insight for backtracking: how do you know if an item was taken?","Compare current cell with cell directly above: Values DIFFERENT → Item was TAKEN. Values SAME → Item was SKIPPED. If taken, reduce currentW by that item's weight."
"What is the time complexity of 0/1 Knapsack DP?","O(n × W) where n = number of items, W = capacity. This is called 'pseudo-polynomial' because W is input value, not input size."
"What is the space complexity of 0/1 Knapsack DP?","Basic: O(n × W) - full 2D table. Optimized: O(W) - only need previous row, so can use 1D array (iterate capacity backwards)."
"What does 'look up' mean in the Knapsack DP formula?","When deciding to take an item, we look at dp[i-1][w - wt[i-1]]. This is the best value achievable with one fewer item considered (i-1) and remaining capacity after taking current item. Literally looking 'up and left' in the table."
"Why can't greedy solve 0/1 Knapsack optimally?","Greedy by value/weight ratio fails because we can't take fractions. Example: Item A (5kg, $10), Item B (4kg, $7), capacity 5kg. Greedy picks A but B might combine better with smaller items. DP explores all combinations."
"What's the difference between !== and != in Python?","!== is JavaScript (strict inequality). != is Python (inequality). Using !== in Python causes SyntaxError! Common mistake when switching between languages."
"In backtracking, why use currentW instead of loop variable w?","The loop variable w from table-filling phase is stale. We need a fresh variable that tracks remaining capacity as we trace back. Bug: Using old w doesn't decrease as items are found. Fix: Use currentW and update it: currentW -= wt[i-1]."
"What's the solving checklist for any 0/1 Knapsack problem?","1) Identify the constraint (weight, volume, time, budget). 2) Create table: (n+1) × (W+1). 3) Initialize base cases: row 0 and col 0 = 0. 4) Fill with recurrence: fits? max(skip, take). Doesn't fit? inherit. 5) Remember i-1 offset! 6) Backtrack if need selected items."
"Why does the Knapsack table need both row 0 AND column 0?","Row 0: 'What if I have no items to consider?' → Value is 0. Column 0: 'What if bag holds 0kg?' → Value is 0. Both serve as base cases. Without them, dp[1][1] would have no valid dp[i-1][w] to reference."
"What Universal DP Principles does Knapsack demonstrate?","1) Define state clearly: What does dp[i][w] mean? 2) Identify recurrence: How does current depend on previous? 3) Handle base cases first. 4) Fill in correct order (top-to-bottom, left-to-right). 5) Index with extreme care - off-by-one is #1 bug."
"What happens if you iterate capacity LEFT-to-RIGHT in 1D space-optimized Knapsack?","You'll use the SAME item multiple times (Unbounded Knapsack behavior). For 0/1, iterate RIGHT-to-LEFT to ensure each item is used at most once."
"In Knapsack, what's the difference between dp[i-1][w] and dp[i-1][w - wt[i-1]]?","dp[i-1][w] = best value if we SKIP current item (same capacity). dp[i-1][w - wt[i-1]] = best value with remaining capacity AFTER taking current item."
"How do you convert 2D Knapsack to 1D array?","Use single array dp[W+1]. Iterate capacity from W down to wt[i-1]: dp[w] = max(dp[w], val[i-1] + dp[w - wt[i-1]])"
"What real-world problems can be modeled as 0/1 Knapsack?","Budget allocation, cargo loading, resource scheduling, subset sum, partition equal subset, investment portfolio selection."
"In Knapsack backtracking, why start from dp[n][W] not dp[0][0]?","dp[n][W] is the FINAL answer (all items considered, full capacity). We trace BACKWARDS to discover which items contributed to this optimal value."
"What's the minimum information needed to solve 0/1 Knapsack?","1) Array of values, 2) Array of weights, 3) Total capacity W. That's it - n is just len(values)."
"If dp[3][4] = 3500 and dp[2][4] = 3000, was item 3 taken?","YES. Values are DIFFERENT (3500 ≠ 3000), meaning item 3 contributed to the solution. Reduce capacity by wt[2]."
"What's wrong with: dp = [[0] * (W+1)] * (n+1)?","Creates n+1 references to the SAME list! Changing dp[1][2] also changes dp[0][2]. Use: [[0]*(W+1) for _ in range(n+1)]"
"When filling Knapsack table, which direction: top-down or bottom-up?","Bottom-up: row 0 first, then row 1, etc. Each cell depends on the row ABOVE it, so we must fill upper rows before lower rows."
"What does it mean when wt[i-1] > w in the recurrence?","Item is TOO HEAVY for current capacity w. Only option is to SKIP it: dp[i][w] = dp[i-1][w] (inherit from row above)."
