Question,Answer
"What is a Peak Element?","An element that is GREATER than its neighbors. nums[i] > nums[i-1] AND nums[i] > nums[i+1]."
"What's special about array boundaries for peaks?","Problem states nums[-1] = nums[n] = -∞. So first/last elements can be peaks if greater than their one neighbor."
"Why can Binary Search find a peak in O(log n)?","Key insight: ALWAYS GO TOWARD THE HIGHER SIDE. If one side is higher, there's GUARANTEED a peak in that direction."
"💡 AHA: Why does 'go toward higher' GUARANTEE a peak?","Two cases: 1) Slope continues up to boundary → boundary is peak (because nums[n]=-∞). 2) Slope goes up then down → peak in the middle."
"When nums[mid] < nums[mid+1], which way do we go?","Go RIGHT (left = mid + 1). The right side is higher, so peak must be there."
"When nums[mid] >= nums[mid+1], which way do we go?","Go LEFT (right = mid). Current mid might BE the peak, so we KEEP it in our search range."
"❌ MISTAKE: Why is 'right = mid - 1' wrong when going left?","If nums[mid] > nums[mid+1], mid could BE the peak! Using mid-1 might skip it. Must use right = mid."
"Why use 'while left < right' instead of 'while left <= right' for this problem?","We want to CONVERGE to a single element. When left == right, that's our peak - no need to continue."
"❌ MISTAKE: What's wrong with checking nums[mid-1] and nums[mid+1] explicitly?","Boundary errors! When mid=0, nums[mid-1]=nums[-1] (wrong element). When mid=len-1, nums[mid+1] is out of bounds."
"Why does 'while left < right' avoid boundary issues?","We only compare mid with mid+1. Loop ends when left==right. No need to check both neighbors."
"For [1,2,3,1], trace finding the peak.","left=0,right=3,mid=1. nums[1]=2<nums[2]=3→left=2. left=2,right=3,mid=2. nums[2]=3>nums[3]=1→right=2. left==right=2. Peak at index 2!"
"What do we return when loop ends?","return left (or right, they're equal). This single remaining element is the peak."
"For ascending array [1,2,3,4,5], where is the peak?","At index 4 (value 5). Since nums[5] = -∞, element 5 > -∞, so it's a peak."
"For descending array [5,4,3,2,1], where is the peak?","At index 0 (value 5). Since nums[-1] = -∞, element 5 > -∞, so it's a peak."
"Write the Find Peak Element code.","def findPeak(nums): if len(nums)==1: return 0; left,right=0,len(nums)-1; while left<right: mid=left+(right-left)//2; if nums[mid]<nums[mid+1]: left=mid+1; else: right=mid; return left"
"What is the time complexity?","O(log n) - Binary Search halves the search space each iteration."
"What is the space complexity?","O(1) - Only using a few pointer variables."
"Why is the single element check 'if len(nums)==1' needed?","Edge case: single element is automatically a peak (both neighbors are -∞)."
"💡 KEY INSIGHT: left = mid + 1 (SKIP mid) vs right = mid (KEEP mid). Why?","Going right: mid is LOWER than right side, can't be peak, skip it. Going left: mid is HIGHER than right side, could be peak, keep it!"
"What makes this problem 'Medium' difficulty?","Non-obvious insight that 'go toward higher' guarantees a peak. Also, the right = mid vs mid - 1 distinction trips people up."
