Question,Answer
"What is the main challenge in 'Binary Tree Level Order Traversal' using BFS?","The queue mixes nodes from different levels. We must distinguish where one level ends and the next begins."
"❌ MISTAKE: What happens if you don't capture `level_size = len(queue)` at the start of the loop?","You process children added *during* the current level's iteration, mixing levels together and creating a flat list."
"What is the 'Snapshot Strategy' in BFS Level Order?","Capture `level_size = len(queue)` BEFORE iterating. This freezes the count of nodes that belong to the CURRENT level."
"Why do we need a nested loop structure for Level Order Traversal?","Outer loop `while queue` keeps the traversal going. Inner loop `for _ in range(level_size)` processes exactly one level."
"❌ MISTAKE: What was the 'Selective Parent' logic error?","Writing `if left: ... else: right ...`. This prevents adding the right child if the left exists! They must be independent `if` statements."
"What is the Time Complexity of Level Order Traversal?","O(N) - We visit every node exactly once."
"What is the Space Complexity of Level Order Traversal?","O(N) - In the worst case (full binary tree), the queue holds N/2 nodes (the bottom level)."
"Where should we initialize `current_level = []`?","INSIDE the `while` loop, but BEFORE the `for` loop. It resets for each new level."
"If `level_size` is 3, how many times does the inner `for` loop run?","Exactly 3 times. It processes the 3 nodes currently in the queue."
"What happens to children added during the inner `for` loop?","They are appended to the END of the queue and will be processed in the NEXT iteration of the `while` loop."
"How does this pattern adapt to 'Zigzag Level Order'?","Use the same template, but keep a flag `is_reverse`. Reverse `current_level` before adding to the result if the flag is set."
"How does this pattern adapt to 'Level Averages'?","Instead of a list, keep `current_sum`. After the inner loop, add `current_sum / level_size` to results."
"Why is BFS preferred over DFS for Level Order Traversal?","BFS naturally visits nodes level-by-level (horizontal). DFS visits depth-first (vertical) and requires extra tracking to group by level."
"What is the initial state of the queue?","`queue = deque([root])`."
"How do we handle an empty root input?","Check `if not root: return []` immediately. Otherwise, the queue initialization might fail or return `[[]]`."
"What does `queue.popleft()` return?","The first node in the queue (FIFO). This is the node we are currently processing."
"Why use `collections.deque` instead of a Python list?","`popleft()` is O(1) for deque, but `pop(0)` is O(N) for a list (shifting elements)."
"In the 'Snapshot Strategy', does `level_size` change during the inner loop?","No. `len(queue)` changes, but the variable `level_size` remains constant for that iteration."
"What is the structure of the final output?","A list of lists: `[[val, val], [val, val, val], ...]`. Each inner list represents one level."
"💡 AHA MOMENT: What is the core realization about the queue's content?","At the start of the `while` loop, the queue contains ALL nodes of the current level and ONLY nodes of the current level."
