Question,Answer
"What pattern does 'Subarray Sum Equals K' use?","Prefix Sum + HashMap - store prefix sums and their counts to find valid subarrays."
"Why doesn't Sliding Window work for this problem?","Negative numbers break monotonicity - expanding window can increase OR decrease sum."
"What is the core equation for prefix sums?","sum(i to j) = prefix[j] - prefix[i], so if we want K: prefix[i] = prefix[j] - K"
"What does the HashMap store?","{prefix_sum_value: count} - how many times each prefix sum has appeared."
"Why HashMap instead of Set?","We need COUNT of occurrences. If a prefix appears 3 times, that's 3 valid subarrays."
"What is the time complexity?","O(n) - Single pass with O(1) HashMap operations."
"What is the space complexity?","O(n) - HashMap may store up to n different prefix sums."
"Why do we initialize seen[0] = 1?","To handle subarrays starting from index 0. When prefix_sum - K = 0, we need to find it."
"For nums=[1,2,3], k=6, why is seen[0]=1 critical?","At index 2, prefix=6, remain=6-6=0. Without seen[0]=1, we'd miss the [1,2,3] subarray."
"What is 'remain' in the algorithm?","remain = prefix_sum - k, the value we're looking for in our HashMap."
"When do we increment count?","When 'remain' exists in seen: count += seen[remain]."
"When do we update the HashMap?","AFTER checking for remain, we add current prefix_sum: seen[prefix_sum] += 1"
"Why check BEFORE updating HashMap?","To avoid counting the same position twice. We want previous prefix sums, not current."
"For nums=[1,-1,1,1], k=1, trace the algorithm.","prefix sums: 0,1,0,1,2. Answer=5 subarrays: [1],[−1,1],[1,−1,1],[−1,1,1],[1,1]"
"Write the defaultdict initialization.","from collections import defaultdict; seen = defaultdict(int); seen[0] = 1"
