Question,Answer
"SIGNAL: Find median from a stream of numbers. What pattern?","Two Heaps. Max-heap for smaller half, min-heap for larger half. Median at boundary of the two heaps."
"SIGNAL: Track median in sliding window. What pattern?","Two Heaps (with removal). Same as streaming median, but need to remove outgoing elements."
"SIGNAL: Need to partition data into smaller and larger halves dynamically. What pattern?","Two Heaps. Max-heap gives largest of small half, min-heap gives smallest of large half."
"SIGNAL: Scheduling problem needing both earliest start AND latest end tracking. What pattern?","Possibly Two Heaps. One heap for starts, one for ends. Or other heap-based scheduling."
"WHY: Why use MAX-heap for smaller half and MIN-heap for larger half?","We need quick access to the BOUNDARY elements: largest of small half (max-heap root) and smallest of large half (min-heap root)."
"WHY: Why keep heap sizes balanced (within 1)?","So median is always at the boundary. If sizes differ by >1, median calculation becomes wrong."
"WHY: Why is Two Heaps median O(1)?","Median is always heap root(s). O(1) to access root. O(log n) only for insert/rebalance."
"SCENARIO: Stream [5,15,1,3]. Find median after each addition.","Add 5: median=5. Add 15: median=10 (avg). Add 1: median=5. Add 3: [1,3|5,15], median=4 (avg of 3,5)."
"SCENARIO: 'Find Median from Data Stream' - how to decide which heap for new element?","If new ≤ max_heap.root, add to max_heap. Else add to min_heap. Then rebalance if needed."
"SCENARIO: Rebalance when max_heap has 3 elements, min_heap has 1.","Move max_heap root to min_heap. Now both have 2. Sizes differ by 0, balanced."
"COSTUME: 'IPO' - maximize capital with limited projects. Pattern?","Two Heaps. Min-heap for projects by capital needed. Max-heap for available projects by profit."
"COSTUME: 'Sliding Window Median' - median of K elements as window slides. Pattern?","Two Heaps with lazy deletion. Or use sorted container (TreeMap) for efficient insert/delete."
"ANTI-PATTERN: Find Kth largest (not median) - Two Heaps?","Use single heap (Top K pattern). Two Heaps specifically for median (middle element)."
"ANTI-PATTERN: Static array, find median once - Two Heaps?","Overkill. Just sort and access middle element. Two Heaps for dynamic/streaming data."
"COMPARISON: Two Heaps vs Top K Elements?","Two Heaps: track MEDIAN (middle). Top K: track K EXTREME elements. Different goals."
"COMPARISON: Two Heaps vs Sorting for median?","Two Heaps: O(log n) per insert, O(1) median. Sorting: O(n log n) once. Heaps better for streaming."
"TECHNIQUE: How to handle odd vs even total count for median?","Odd: one heap has extra element, return its root. Even: return average of both roots."
"TECHNIQUE: Python only has min-heap. How to simulate max-heap?","Negate values: heappush(heap, -val). Pop: result = -heappop(heap). Min of negatives = max of originals."
"EDGE: What if first element added to empty heaps?","Add to either heap (convention: often max_heap first). It's the sole element and the median."
"MENTAL MODEL: How to visualize Two Heaps?","See-saw: left side = smaller half (max-heap), right side = larger half (min-heap). Balance point = median."
