Question,Answer
"What is the Insert Interval problem?","Given sorted non-overlapping intervals and a new interval, insert it and merge if necessary. Return sorted non-overlapping result."
"What's different from Merge Intervals?","Input is ALREADY sorted and non-overlapping. We just need to find where new interval fits and handle merges."
"What are the THREE phases of Insert Interval?","1) Add intervals that END before new starts (no overlap). 2) Merge overlapping intervals. 3) Add remaining intervals."
"Phase 1: When is an interval BEFORE the new interval (no overlap)?","When interval[1] < newInterval[0]. The existing interval ends before new one starts."
"Phase 2: When do intervals OVERLAP with new interval?","When interval[0] <= newInterval[1] AND interval[1] >= newInterval[0]. They share some range."
"Phase 2: How do we merge overlapping intervals?","newInterval = [min(newInterval[0], interval[0]), max(newInterval[1], interval[1])]"
"Phase 3: What happens after merging is done?","Add the merged newInterval, then add all remaining intervals (they're after and don't overlap)."
"For intervals=[[1,3],[6,9]], newInterval=[2,5], what's the result?","[[1,5],[6,9]]. [1,3] overlaps with [2,5] → merge to [1,5]. [6,9] is after."
"For intervals=[[1,2],[3,5],[6,7],[8,10],[12,16]], newInterval=[4,8], what's the result?","[[1,2],[3,10],[12,16]]. [3,5],[6,7],[8,10] all overlap with [4,8], merge to [3,10]."
"Write the Phase 1 logic.","result = []; i = 0; while i < len(intervals) and intervals[i][1] < newInterval[0]: result.append(intervals[i]); i += 1"
"Write the Phase 2 logic (merging).","while i < len(intervals) and intervals[i][0] <= newInterval[1]: newInterval = [min(newInterval[0], intervals[i][0]), max(newInterval[1], intervals[i][1])]; i += 1; result.append(newInterval)"
"Write the Phase 3 logic.","while i < len(intervals): result.append(intervals[i]); i += 1"
"What is the time complexity?","O(n) - single pass through all intervals."
"What is the space complexity?","O(n) - storing the result."
"Why does Phase 2 use 'interval[0] <= newInterval[1]'?","Checks if current interval STARTS before new interval ENDS. If so, they overlap and should merge."
"Edge case: New interval is before all existing intervals.","Phase 1: nothing added. Phase 2: no overlap, new interval added immediately. Phase 3: all intervals added after."
"Edge case: New interval is after all existing intervals.","Phase 1: all intervals added. Phase 2: no overlap, new interval added at end. Phase 3: nothing to add."
"Edge case: New interval covers everything.","Phase 1: nothing added. Phase 2: all intervals merged into one giant interval. Phase 3: nothing to add."
"Why use MIN for new start and MAX for new end during merge?","To capture the FULL extent of all overlapping intervals. Leftmost start, rightmost end."
"💡 AHA: What's the key insight?","Three distinct zones: BEFORE (just add), OVERLAPPING (merge all), AFTER (just add). Process linearly in one pass."
