Question,Answer
What is the correct order for database schema design?,"1) Business Requirements → 2) Identify Entities & Relationships → 3) Normalize (1NF-3NF) → 4) Choose Data Types & Constraints → 5) Optimize/Denormalize if needed"
What are the three types of entity relationships?,"One-to-One (User ↔ Profile), One-to-Many (Company → Jobs), Many-to-Many (Users ↔ Courses)"
How do you implement One-to-Many in Django?,ForeignKey on the ""many"" side. Example: Job has ForeignKey to Company because one Company has many Jobs.
What is the interview opening for schema design?,"""My process starts with business requirements first, not tables. I identify entities and relationships, normalize up to 3NF, then selectively denormalize for performance."""
What is First Normal Form (1NF)?,"Each column should contain atomic (indivisible) values. No arrays, no lists, no comma-separated values in a single field."
What is the violation of 1NF?,"Storing multiple values in one field. Example: skills = ""python,django,react"" is BAD. Use a separate Skill table with M2M relationship."
What is Second Normal Form (2NF)?,"Non-key attributes must depend on the ENTIRE primary key. Relevant with composite primary keys. No partial dependencies."
What is Third Normal Form (3NF)?,"Non-key attributes should depend ONLY on the primary key, not on other non-key fields. No transitive dependencies."
Give an example of 3NF violation.,"Storing company_name in Application table when it depends on company_id. Solution: Store company_name only in Company table, join when needed."
When should you denormalize?,"For read-heavy systems. Example: Adding application_count to User table instead of running COUNT(*) on every dashboard load."
What is the trade-off of denormalization?,"Faster reads but slower writes. Must maintain data consistency manually. Example: update application_count whenever applications change."
What is the N+1 query problem?,"1 query fetches a list of parent objects, then N additional queries fetch related data for each parent. Total = 1 + N queries."
How many queries does N+1 generate for 100 items?,101 queries. 1 query for the list + 100 queries for related data.
What is the code example of N+1 problem?,"""applications = Application.objects.all(); for app in applications: print(app.user.name)"" — hits DB every loop iteration."
What is select_related() used for?,ForeignKey and OneToOne relationships. Creates a SQL JOIN to fetch related objects in a single query.
What is the mechanism of select_related()?,SQL JOIN — combines tables in one database query. Example: SELECT applications.* users.* FROM applications INNER JOIN users...
What is prefetch_related() used for?,ManyToMany and reverse ForeignKey relationships. Does 2 queries and joins results in Python.
What is the mechanism of prefetch_related()?,2 queries: 1) Get parent objects, 2) Get children with WHERE id IN (...). Python joins them in memory.
When to use select_related vs prefetch_related?,"select_related: Forward FK/O2O (following a ForeignKey). prefetch_related: M2M/Reverse FK (getting a list of related objects)."
What is the interview one-liner for N+1?,"""The N+1 problem happens when code fetches a list then iterates to fetch related data. I fix it with select_related for FK and prefetch_related for M2M."""
What is the key phrase for fixing performance?,"""Fixing N+1 queries is often the fastest way to improve backend performance."""
What is the query optimization process?,"1) Detect (logs, toolbar) → 2) Analyze (EXPLAIN) → 3) Fix N+1 → 4) Add Indexes → 5) Refactor → 6) Cache"
What tool shows queries in Django development?,Django Debug Toolbar — shows all queries per request with timing and duplicates.
What SQL command shows query execution plan?,EXPLAIN ANALYZE — shows if database is doing full table scan or using indexes.
What indicates a bad query plan in EXPLAIN?,"Sequential Scan (Seq Scan) = full table scan = slow. Index Scan = using index = fast."
When should you add a database index?,"1) Fields in WHERE clauses (filtering), 2) Fields in ORDER BY (sorting), 3) Fields in JOIN conditions, 4) Fields that need uniqueness"
How do you add an index in Django?,"db_index=True on the field. Example: status = models.CharField(max_length=20, db_index=True)"
What is a composite index?,"An index on multiple columns together. Useful for queries filtering on multiple fields like status='active' AND created_at > date."
What is the trade-off of indexes?,"Faster reads but slower writes. Each INSERT/UPDATE/DELETE must update the index. Uses extra storage."
Why shouldn't you index low-cardinality columns?,"Columns with few unique values (like gender M/F) don't benefit from indexes — database ignores them because scanning is just as fast."
What is the indexing strategy key phrase?,"""I index fields used in WHERE, ORDER BY, and JOIN. I design indexes based on real query patterns, not assumptions."""
What is a through model?,"An explicit intermediate model for ManyToMany relationships that stores additional data about the relationship itself."
When should you use a through model?,"When the relationship has its own attributes. Example: Enrollment stores enrolled_date and grade for Student ↔ Course relationship."
What fields does a through model contain?,"ForeignKeys to both related models PLUS relationship-specific fields. Example: student_id, course_id, enrolled_date, grade, status."
Give a real-world through model example.,"OrderItem: order_id, product_id, quantity, price_at_time. The quantity belongs to the relationship, not Product or Order."
How do you define a through model in Django?,"ManyToManyField with through parameter: courses = models.ManyToManyField('Course', through='Enrollment')"
What is the through model interview phrase?,"""I use through models when the relationship itself has attributes like timestamps, status, or metadata."""
What does .only() do in Django ORM?,Fetches only specified columns. Example: User.objects.only('id', 'email') — doesn't load other fields.
What does .defer() do in Django ORM?,Excludes specified columns from the query. Example: User.objects.defer('profile_image') — excludes heavy fields.
What does .values() do in Django ORM?,Returns dictionaries instead of model instances with only specified fields. More memory efficient for read-only operations.
What is the annotate() method used for?,"Adding computed fields. Example: Company.objects.annotate(job_count=Count('job')) adds job_count to each Company."
What is F() expression used for?,Reference model field values in queries. Example: F('application_count') + 1 for atomic updates without race conditions.
What is the database optimization hierarchy?,"1) Fix N+1 (biggest impact) → 2) Add indexes → 3) Optimize queries → 4) Denormalize → 5) Cache (last resort)"
What are Django's automatic indexes?,ForeignKey fields are automatically indexed. unique=True fields are automatically indexed.
How do you create a composite index in Django Meta?,"class Meta: indexes = [models.Index(fields=['status', 'created_at'])]"
