Question,Answer
"What pattern does 'Remove Duplicates from Sorted Array' use?","Two Pointers - Same Direction (Parallel). Uses slow/fast pointers moving in the same direction."
"In Remove Duplicates, what is the role of the SLOW pointer?","The slow pointer tracks the position where the next unique element should be placed. It marks the boundary of the 'valid' portion of the array."
"In Remove Duplicates, what is the role of the FAST pointer?","The fast pointer scans through the array looking for new unique elements to add to the valid portion."
"What is the time complexity of Remove Duplicates from Sorted Array?","O(n) - Single pass through the array with the fast pointer."
"What is the space complexity of Remove Duplicates from Sorted Array?","O(1) - In-place modification, only using two pointer variables."
"Why does Remove Duplicates require a SORTED array?","Because duplicates are adjacent in a sorted array, we only need to compare consecutive elements (arr[fast] vs arr[slow])."
"What is the initial value of slow and fast pointers in Remove Duplicates?","slow = 0, fast starts from 1 (or use for loop starting at index 1)."
"When do we increment the slow pointer in Remove Duplicates?","Only when arr[fast] != arr[slow], meaning we found a new unique element."
"What should we return in Remove Duplicates?","Return slow + 1, which is the length of the unique elements portion."
"Why do we return slow + 1, not slow?","Because slow is an index (0-based), and the length is index + 1. If slow ends at index 2, we have 3 unique elements."
"Write the core comparison logic for Remove Duplicates.","if arr[fast] != arr[slow]: slow += 1; arr[slow] = arr[fast]"
"What edge case must you handle in Remove Duplicates?","Empty array - return 0 or handle with 'if not arr: return 0' before the loop."
"In [1,1,2,2,3], after processing, what are the first 3 elements?","[1, 2, 3] - the unique elements are placed at the beginning."
"What's the key insight that makes Two Pointers work for in-place modifications?","The slow pointer always points to valid data, while fast scans ahead. We only copy when we find something new."
"Which keywords in a problem suggest Same Direction Two Pointers?","'in-place', 'O(1) space', 'remove duplicates', 'move zeros', 'constant space'"
