Question,Answer
"What is the goal of 'Merge K Sorted Lists'?","Combine K pre-sorted linked lists into a single sorted linked list."
"Why is the Naive approach (Compare heads of all K lists) slow?","Finding the min among K heads takes O(K). Doing this for N total nodes gives O(N * K)."
"What is the Optimal approach using Heap?","Use a Min-Heap to store the current head of each list. Finding min is O(1), extracting/inserting is O(log K). Total O(N log K)."
"What do we store in the Heap tuples?","`(value, list_index, node)`. `value` for sorting, `list_index` as tie-breaker (to avoid comparing nodes), `node` to access `.next`."
"Why do we need a 'Dummy Node' (Sentinel)?","Simplifies result list construction. We can unconditionally do `curr.next = node` without checking if `head` is None. Return `dummy.next`."
"What is the 'Harvest Metaphor' for this problem?","Lists = Crop rows. Heap = Harvest basket (holding one from each row). Result = Wagon. You pick the best crop from basket, then refill basket from that specific row."
"Does the Heap grow indefinitely?","No. The heap size is at most K (one node per list). It only shrinks if a list runs out of nodes."
"What happens when we pop a node from the Heap?","1. Attach it to result list. 2. If `node.next` exists, push `node.next` into the Heap."
"Time Complexity: Why O(N log K)?","N total nodes. Each node goes into heap once (push) and comes out once (pop). Heap ops are log K."
"Space Complexity analysis?","O(K) for the heap. The output list doesn't count towards auxiliary space."
"What is the Python tuple comparison pitfall?","If values are equal, Python compares the next element. If `(val, node)` is used and vals equal, it compares `node` (error). Use `(val, index, node)` to break ties safely."
"Initialization Phase: What goes into the heap first?","The HEAD node of every non-empty list. K insertions."
"Why is 'Merge Sort' (Divide & Conquer) also O(N log K)?","Merging pairs of lists (K -> K/2 -> K/4...) creates a tree of height log K. Each level processes N nodes."
"Why is Heap often preferred over Divide & Conquer here?","Heap uses O(K) space. Divide & Conquer might use O(log K) recursion stack or more depending on implementation. Heap is also more intuitive for 'streams'."
"What if one list is much longer than others?","Doesn't matter. The heap simply keeps pulling from that list after others are exhausted."
"What logic handles 'empty lists' in input?","During initialization, check `if head:` before pushing. If a list is empty, it never contributes to the heap."
"Termination Condition: When does the loop stop?","`while heap:` loops until the heap is empty (meaning all nodes from all lists have been processed)."
"Real-World Application: Database Query Optimization?","Merging results from K sorted shards/indexes (e.g., `SELECT * FROM users ORDER BY age`)."
"Real-World Application: External Sorting?","Merging K sorted chunks of a massive file that doesn't fit in RAM."
"Why is `curr = curr.next` necessary?","To advance the pointer of our result list so we can attach the NEXT node."
"Proof of Correctness: Why is the popped node guaranteed to be the global minimum?","The heap contains the *current smallest* from every list. Since lists are sorted, the smallest of the *current heads* must be the overall smallest remaining node."
"Visual Metaphor: What is the 'Wagon'?","The Result List. It collects the 'crops' (nodes) in perfect sorted order."
