Question,Answer
"What pattern does 'Squares of a Sorted Array' use?","Two Pointers - Opposite Direction (Converging). Pointers start at both ends and move toward each other."
"Why do we use opposite direction pointers for Squares of Sorted Array?","Because after squaring, the largest values are at the ENDS (either most negative or most positive becomes largest)."
"In Squares of Sorted Array, where do the largest squared values come from?","The ends of the array - either the most negative number (left) or the most positive (right) will have the largest square."
"What is the time complexity of Squares of Sorted Array?","O(n) - Single pass comparing both ends."
"What is the space complexity of Squares of Sorted Array?","O(n) - We need a new result array to store the sorted squares."
"In Squares of Sorted Array, which direction do we fill the result array?","From the END (right to left) because we're finding the largest squares first."
"What is the comparison logic in Squares of Sorted Array?","Compare abs(arr[left]) with abs(arr[right]), or compare left*left with right*right."
"If left square is larger, what do we do in Squares of Sorted Array?","Place left*left in result[position], then left++, position--."
"If right square is larger, what do we do in Squares of Sorted Array?","Place right*right in result[position], then right--, position--."
"For input [-4,-1,0,3,10], what is the output?","[0, 1, 9, 16, 100] - squares sorted in ascending order."
"Why can't we just square each element and sort?","That would be O(n log n) for sorting. Two Pointers gives us O(n)."
"What's the loop condition for Squares of Sorted Array?","while left <= right (we process until pointers cross or meet)."
"Why is position initialized to len(arr) - 1?","Because we fill from the end of the result array with the largest values first."
"What makes the Two Pointers approach work here?","The input is SORTED, so we know the extreme values (most negative, most positive) produce the largest squares."
"Write the core logic: if abs(arr[left]) > abs(arr[right])...","result[pos] = arr[left] * arr[left]; left += 1; pos -= 1"
