Question,Answer
"What is the goal of Cycle Detection II?","Find the NODE where the cycle BEGINS (not just detect if cycle exists). Return that node, or None if no cycle."
"What are the two phases of finding cycle start?","Phase 1: Detect cycle (fast & slow meet). Phase 2: Find entry (reset slow to head, both move 1 step until meet again)."
"What is L in the Floyd's algorithm proof?","L = distance from HEAD to CYCLE ENTRY (the straight portion before the cycle)."
"What is X in the Floyd's algorithm proof?","X = distance from CYCLE ENTRY to MEETING POINT (how far into the cycle they meet)."
"What is R in the Floyd's algorithm proof?","R = distance from MEETING POINT back to CYCLE ENTRY (remaining distance to complete the cycle)."
"What is C (cycle circumference)?","C = X + R (the total length of the cycle). X is the portion traveled, R is the remaining portion."
"Why does the math proof show L = R?","From S_turtle = L + X and S_hare = 2 × S_turtle, and S_hare - S_turtle = n × C. Solving gives L + X = n × C, so L = n × C - X = (n-1) × C + R."
"In Phase 2, why do BOTH pointers move at speed 1?","We need them to meet at the ENTRY point. Moving at same speed, one from head (travels L), one from meeting point (travels R). Since L ≡ R (mod C), they meet at entry."
"💡 AHA: The stadium analogy - why must difference be n × C?","If two runners are at the same position, the faster one has run exactly n complete laps more. Can't be 1.5 laps - they'd be on opposite sides!"
"What does 'while slow != fast' check in Phase 2?","Checks if both pointers have reached the cycle entry point. When they meet, that's the start of the cycle."
"Write the Phase 1 code (detect cycle).","slow = fast = head; while fast and fast.next: slow = slow.next; fast = fast.next.next; if slow == fast: break; else: return None"
"Write the Phase 2 code (find entry).","slow = head; while slow != fast: slow = slow.next; fast = fast.next; return slow"
"Why use 'for-else' or 'while-else' in Python for Phase 1?","The 'else' block runs if loop completes normally (no break). If fast hits None → no cycle → return None directly."
"What's the time complexity of finding cycle start?","O(n) - Phase 1 is O(n), Phase 2 is at most O(n). Total O(n)."
"What's the space complexity of finding cycle start?","O(1) - Only two pointer variables throughout both phases."
"In the 400m stadium example, what does 'gap = n × C' mean practically?","If hare runs 520m and turtle runs 120m, difference is 400m = exactly 1 lap. They're at the same physical position."
"Why does the formula S_hare = 2 × S_turtle hold?","Hare moves 2 steps per iteration, turtle moves 1 step. After k iterations: hare = 2k steps, turtle = k steps."
"What happens if L > C (straight portion longer than cycle)?","Algorithm still works! The formula L = (n-1) × C + R handles multiple cycle traversals."
"What makes this problem 'Medium' difficulty vs 'Easy' for basic detection?","The mathematical proof (L = R) is non-obvious. Many people can detect a cycle but struggle to find the exact entry point."
"Visual: Draw what L, X, R look like on a cycle.","HEAD --[L]--> ENTRY --[X]--> MEET --[R]--> back to ENTRY. L is straight, X + R = C (full circle)."
