Question,Answer
"What pattern does Linked List Cycle Detection use?","Fast & Slow Pointers (Floyd's Tortoise and Hare). Slow moves 1 step, fast moves 2 steps."
"What is the time complexity of cycle detection?","O(n) - Even with a cycle, fast catches slow within one cycle traversal."
"What is the space complexity of cycle detection?","O(1) - Only two pointer variables, no extra data structures."
"Why does the gap between fast and slow DECREASE by 1 each iteration?","Slow moves +1, Fast moves +2. Net closing speed = 2 - 1 = 1 position per iteration. Gap: K → K-1 → ... → 0."
"❌ MISTAKE: What's wrong with 'slow.next = slow.next'?","This doesn't move slow! It reassigns slow.next to itself. CORRECT: 'slow = slow.next' moves the pointer."
"❌ MISTAKE: What's wrong with 'fast.next = fast.next.next'?","This CHANGES the linked list structure! CORRECT: 'fast = fast.next.next' moves the pointer without modifying the list."
"❌ MISTAKE: What's wrong with 'while fast and fast.next.next'?","Error if fast.next is None! Must check fast.next exists BEFORE accessing fast.next.next. CORRECT: 'while fast and fast.next'."
"Why must we check BOTH 'fast' AND 'fast.next' in the loop condition?","1) Check 'fast' exists → safe to access fast.next. 2) Check 'fast.next' exists → safe to do fast.next.next."
"Why do we move pointers BEFORE checking if they meet?","If we check first, they're always equal at start (both at head). Moving first ensures meeting only happens IN the cycle."
"What happens if the list is empty (head = None)?","The loop condition 'while fast and fast.next' catches this - fast is None, loop doesn't run, returns False."
"What happens with a single node and no cycle?","fast = head, fast.next = None. Loop condition fails immediately → returns False (no cycle)."
"If fast moves 3 steps instead of 2, what goes wrong?","Gap decreases by 2 each time, might SKIP over slow: 5 → 3 → 1 → -1 (missed!). With 2 steps, gap decreases by exactly 1, MUST hit 0."
"Write the complete cycle detection code.","def hasCycle(head): slow = fast = head; while fast and fast.next: slow = slow.next; fast = fast.next.next; if fast == slow: return True; return False"
"In the analogy, why is the 'relative speed' concept important?","Fast moves 2, slow moves 1. Relative speed = 2 - 1 = 1. Fast closes gap by 1 position per iteration → guaranteed to meet."
"What are the 4 main use cases for Fast & Slow Pointers?","1) Detecting cycles 2) Finding middle of linked list 3) Finding cycle start position 4) Checking if linked list is palindrome"
"💡 AHA: Why does 'think BACKWARDS' help understand the algorithm?","Imagine fast is K steps BEHIND slow. Each iteration: gap K → K-1. This is intuitive - fast catches up by 1 each time."
"How does the algorithm handle two nodes with a cycle between them?","Works fine: fast and slow enter the cycle, gap starts closing by 1 each iteration, they meet."
"What's the maximum number of iterations needed to detect a cycle?","At most O(n) - getting to cycle takes O(n-k), meeting inside takes O(k). Total: O(n)."
"Why is O(1) space a 'huge advantage' for this problem?","Alternative is HashSet to store visited nodes = O(n) space. Fast & Slow uses constant space regardless of list size."
"What edge cases should you always test for cycle detection?","1) Empty list 2) Single node no cycle 3) Two nodes no cycle 4) Two nodes with cycle 5) Long list with cycle at end"
